,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial Dataset,17.616161616161616,SUPERPOINT,0.5555555555555556,0.03153669724770643,0.9684633027522935,0.03153669724770645
1,Industrial Dataset,18.717171717171716,SUPERPOINT,0.5555555555555556,0.029681597409606048,0.9703184025903939,0.02968159740960606
2,Industrial Dataset,18.424242424242426,SUPERPOINT,0.0707070707070707,0.0038377192982456134,0.9961622807017545,0.003837719298245557
3,Industrial Dataset,17.434343434343436,SUPERPOINT,0.45454545454545453,0.026071842410196985,0.9739281575898031,0.026071842410196937
4,Industrial Dataset,17.545454545454547,SUPERPOINT,0.5050505050505051,0.028785261945883708,0.9712147380541163,0.028785261945883708
5,Industrial Dataset,17.303030303030305,SUPERPOINT,1.1313131313131313,0.06538237011091651,0.9346176298890835,0.06538237011091651
6,Industrial Dataset,18.060606060606062,SUPERPOINT,1.9191919191919191,0.10626398210290826,0.8937360178970917,0.1062639821029083
7,Industrial Dataset,18.474747474747474,SUPERPOINT,1.7171717171717171,0.09294696555494807,0.907053034445052,0.092946965554948
8,Industrial Dataset,19.666666666666668,SUPERPOINT,1.6262626262626263,0.08269131997945557,0.9173086800205444,0.08269131997945557
9,Industrial Dataset,17.818181818181817,SUPERPOINT,1.5151515151515151,0.08503401360544219,0.9149659863945578,0.08503401360544217
10,Industrial Dataset,18.1010101010101,SUPERPOINT,1.6464646464646464,0.09095982142857142,0.9090401785714285,0.09095982142857145
11,Industrial Dataset,18.444444444444443,SUPERPOINT,1.3434343434343434,0.0728368017524644,0.9271631982475357,0.07283680175246436
12,Industrial Dataset,19.282828282828284,SUPERPOINT,0.9090909090909091,0.047145102147721316,0.9528548978522786,0.04714510214772135
13,Industrial Dataset,19.11111111111111,SUPERPOINT,0.5151515151515151,0.026955602536997886,0.9730443974630021,0.026955602536997903
14,Industrial Dataset,18.626262626262626,SUPERPOINT,0.0707070707070707,0.003796095444685466,0.9962039045553146,0.0037960954446854323
15,Industrial Dataset,19.383838383838384,SUPERPOINT,0.09090909090909091,0.004689942678478374,0.9953100573215217,0.004689942678478353
16,Industrial Dataset,20.03030303030303,SUPERPOINT,0.26262626262626265,0.013111447302067576,0.9868885526979324,0.013111447302067583
17,Industrial Dataset,19.90909090909091,SUPERPOINT,0.47474747474747475,0.023845763571790968,0.9761542364282091,0.023845763571790937
18,Industrial Dataset,19.818181818181817,SUPERPOINT,0.7575757575757576,0.03822629969418961,0.9617737003058103,0.038226299694189635
19,Industrial Dataset,18.828282828282827,SUPERPOINT,1.3838383838383839,0.07349785407725322,0.9265021459227467,0.07349785407725325
20,Industrial Dataset,19.282828282828284,SUPERPOINT,1.5555555555555556,0.08067050811943426,0.9193294918805657,0.08067050811943428
21,Industrial Dataset,19.21212121212121,SUPERPOINT,1.9090909090909092,0.09936908517350158,0.9006309148264984,0.09936908517350161
22,Industrial Dataset,19.363636363636363,SUPERPOINT,1.505050505050505,0.07772561293688054,0.9222743870631195,0.07772561293688053
23,Industrial Dataset,18.505050505050505,SUPERPOINT,1.4242424242424243,0.0769650655021834,0.9230349344978165,0.07696506550218346
24,Industrial Dataset,18.696969696969695,SUPERPOINT,1.1111111111111112,0.05942733657482443,0.9405726634251756,0.05942733657482439
25,Industrial Dataset,18.838383838383837,SUPERPOINT,0.5757575757575758,0.03056300268096515,0.9694369973190349,0.030563002680965137
26,Industrial Dataset,18.87878787878788,SUPERPOINT,0.1919191919191919,0.010165864098448368,0.9898341359015517,0.010165864098448349
27,Industrial Dataset,18.606060606060606,SUPERPOINT,0.26262626262626265,0.014115092290988058,0.9858849077090119,0.014115092290988061
28,Industrial Dataset,18.656565656565657,SUPERPOINT,0.050505050505050504,0.0027070925825663237,0.9972929074174336,0.002707092582566365
29,Industrial Dataset,19.494949494949495,SUPERPOINT,0.30303030303030304,0.015544041450777202,0.9844559585492227,0.01554404145077723
