,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial Dataset,23.26262626,SUPERPOINT,0.8888888889,0.03821102909,0.9617889709,0.03821102909
1,Industrial Dataset,23.97979798,SUPERPOINT,1.222222222,0.05096882898,0.949031171,0.05096882898
2,Industrial Dataset,23.55555556,SUPERPOINT,0.5656565657,0.02401372213,0.9759862779,0.02401372213
3,Industrial Dataset,22.80808081,SUPERPOINT,0.5757575758,0.02524357839,0.9747564216,0.02524357839
4,Industrial Dataset,26.13131313,SUPERPOINT,0.3333333333,0.01275608813,0.9872439119,0.01275608813
5,Industrial Dataset,29.08080808,SUPERPOINT,1.131313131,0.03890239667,0.9610976033,0.03890239667
6,Industrial Dataset,26.01010101,SUPERPOINT,0.7777777778,0.02990291262,0.9700970874,0.02990291262
7,Industrial Dataset,30.72727273,SUPERPOINT,0.3535353535,0.01150558843,0.9884944116,0.01150558843
8,Industrial Dataset,27.80808081,SUPERPOINT,0.3737373737,0.01343988376,0.9865601162,0.01343988376
9,Industrial Dataset,19.80808081,SUPERPOINT,1.03030303,0.05201427843,0.9479857216,0.05201427843
10,Industrial Dataset,16.51515152,SUPERPOINT,0.0404040404,0.00244648318,0.9975535168,0.00244648318
11,Industrial Dataset,16.11111111,SUPERPOINT,0.05050505051,0.003134796238,0.9968652038,0.003134796238
12,Industrial Dataset,19.08080808,SUPERPOINT,0.2323232323,0.01217575437,0.9878242456,0.01217575437
13,Industrial Dataset,19.95959596,SUPERPOINT,0.2828282828,0.01417004049,0.9858299595,0.01417004049
14,Industrial Dataset,27,SUPERPOINT,0.2929292929,0.01084923307,0.9891507669,0.01084923307
15,Industrial Dataset,28.56565657,SUPERPOINT,1.292929293,0.04526166902,0.954738331,0.04526166902
16,Industrial Dataset,30.13131313,SUPERPOINT,0.9090909091,0.03017096882,0.9698290312,0.03017096882
17,Industrial Dataset,32.51515152,SUPERPOINT,0.3232323232,0.009940975458,0.9900590245,0.009940975458
18,Industrial Dataset,21.66666667,SUPERPOINT,0.8383838384,0.03869463869,0.9613053613,0.03869463869
19,Industrial Dataset,22.1010101,SUPERPOINT,0.5656565657,0.02559414991,0.9744058501,0.02559414991
20,Industrial Dataset,25.27272727,SUPERPOINT,0.1313131313,0.005195843325,0.9948041567,0.005195843325
21,Industrial Dataset,26.75757576,SUPERPOINT,0.6363636364,0.02378255946,0.9762174405,0.02378255946
22,Industrial Dataset,27,SUPERPOINT,0.07070707071,0.002618780397,0.9973812196,0.002618780397
23,Industrial Dataset,27.7979798,SUPERPOINT,1.272727273,0.04578488372,0.9542151163,0.04578488372
24,Industrial Dataset,23.58585859,SUPERPOINT,0.5050505051,0.02141327623,0.9785867238,0.02141327623
25,Industrial Dataset,21.44444444,SUPERPOINT,0.1818181818,0.008478568064,0.9915214319,0.008478568064
