,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial Dataset,50.04040404040404,SUPERPOINT,1.606060606060606,0.0320952765442067,0.9679047234557933,0.03209527654420672
1,Industrial Dataset,56.75757575757576,SUPERPOINT,1.6868686868686869,0.02972059085246485,0.9702794091475352,0.029720590852464833
2,Industrial Dataset,54.23232323232323,SUPERPOINT,0.06060606060606061,0.0011175265412553548,0.9988824734587446,0.001117526541255382
3,Industrial Dataset,50.21212121212121,SUPERPOINT,1.7676767676767677,0.035204184268758806,0.9647958157312412,0.03520418426875881
4,Industrial Dataset,47.75757575757576,SUPERPOINT,1.5454545454545454,0.03236040609137056,0.9676395939086294,0.03236040609137057
5,Industrial Dataset,46.22222222222222,SUPERPOINT,3.5555555555555554,0.07692307692307691,0.923076923076923,0.07692307692307694
6,Industrial Dataset,50.85858585858586,SUPERPOINT,5.666666666666667,0.11142005958291956,0.8885799404170804,0.11142005958291956
7,Industrial Dataset,52.898989898989896,SUPERPOINT,6.626262626262626,0.12526255489784227,0.8747374451021577,0.1252625548978423
8,Industrial Dataset,58.36363636363637,SUPERPOINT,8.646464646464647,0.14814814814814814,0.8518518518518519,0.14814814814814814
9,Industrial Dataset,51.898989898989896,SUPERPOINT,7.636363636363637,0.14713896457765668,0.8528610354223433,0.1471389645776567
10,Industrial Dataset,53.494949494949495,SUPERPOINT,7.565656565656566,0.1414274924471299,0.8585725075528701,0.1414274924471299
11,Industrial Dataset,53.707070707070706,SUPERPOINT,6.090909090909091,0.11340981756629678,0.8865901824337031,0.11340981756629682
12,Industrial Dataset,57.06060606060606,SUPERPOINT,3.717171717171717,0.06514427332271198,0.934855726677288,0.06514427332271198
13,Industrial Dataset,58.878787878787875,SUPERPOINT,1.6868686868686869,0.02864985417738892,0.9713501458226111,0.028649854177388887
14,Industrial Dataset,55.24242424242424,SUPERPOINT,0.1717171717171717,0.0031084293289449626,0.996891570671055,0.0031084293289449566
