,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial Dataset,52.78787878787879,SUPERPOINT,2.04040404040404,0.03865288939915805,0.9613471106008419,0.038652889399158084
1,Industrial Dataset,53.14141414141414,SUPERPOINT,2.6464646464646466,0.0498004181714503,0.9501995818285498,0.04980041817145025
2,Industrial Dataset,50.24242424242424,SUPERPOINT,1.3434343434343434,0.02673904302372336,0.9732609569762766,0.026739043023723395
3,Industrial Dataset,49.707070707070706,SUPERPOINT,1.3535353535353536,0.027230237756553546,0.9727697622434464,0.027230237756553595
4,Industrial Dataset,63.58585858585859,SUPERPOINT,1.101010101010101,0.01731532962668785,0.9826846703733121,0.017315329626687883
5,Industrial Dataset,76.74747474747475,SUPERPOINT,3.505050505050505,0.04566991313503553,0.9543300868649645,0.04566991313503554
6,Industrial Dataset,66.17171717171718,SUPERPOINT,1.6868686868686869,0.025492291253243777,0.9745077087467562,0.0254922912532438
7,Industrial Dataset,83.28282828282828,SUPERPOINT,0.47474747474747475,0.0057004244996967865,0.9942995755003032,0.005700424499696775
8,Industrial Dataset,73.61616161616162,SUPERPOINT,0.9191919191919192,0.012486278814489571,0.9875137211855105,0.012486278814489533
9,Industrial Dataset,45.77777777777778,SUPERPOINT,2.8585858585858586,0.06244483671668138,0.9375551632833186,0.062444836716681405
10,Industrial Dataset,33.121212121212125,SUPERPOINT,0.050505050505050504,0.0015248551387618174,0.9984751448612381,0.0015248551387618502
11,Industrial Dataset,30.92929292929293,SUPERPOINT,0.050505050505050504,0.0016329196603527105,0.9983670803396473,0.001632919660352719
12,Industrial Dataset,34.82828282828283,SUPERPOINT,0.4444444444444444,0.012761020881670531,0.9872389791183295,0.01276102088167053
13,Industrial Dataset,43.35353535353536,SUPERPOINT,0.46464646464646464,0.010717614165890028,0.98928238583411,0.010717614165890019
14,Industrial Dataset,70.20202020202021,SUPERPOINT,0.47474747474747475,0.006762589928057554,0.9932374100719424,0.006762589928057557
15,Industrial Dataset,78.13131313131314,SUPERPOINT,2.676767676767677,0.03425985778926956,0.9657401422107303,0.034259857789269606
16,Industrial Dataset,91.36363636363636,SUPERPOINT,2.242424242424242,0.024543946932006632,0.9754560530679934,0.024543946932006597
17,Industrial Dataset,101.15151515151516,SUPERPOINT,1.0707070707070707,0.010585180746954264,0.9894148192530458,0.010585180746954257
18,Industrial Dataset,61.2020202020202,SUPERPOINT,2.717171717171717,0.044396765142762834,0.9556032348572372,0.04439676514276282
19,Industrial Dataset,73.0909090909091,SUPERPOINT,1.3232323232323233,0.01810392482034273,0.9818960751796574,0.018103924820342676
20,Industrial Dataset,81.66666666666667,SUPERPOINT,0.3434343434343434,0.0042053184910327765,0.9957946815089673,0.0042053184910327245
21,Industrial Dataset,78.34343434343434,SUPERPOINT,1.7777777777777777,0.022692109334708613,0.9773078906652914,0.022692109334708586
22,Industrial Dataset,75.24242424242425,SUPERPOINT,0.0707070707070707,0.0009397234528124579,0.9990602765471875,0.0009397234528124577
23,Industrial Dataset,74.71717171717172,SUPERPOINT,4.626262626262626,0.06191699337569284,0.9380830066243071,0.06191699337569287
24,Industrial Dataset,68.04040404040404,SUPERPOINT,2.04040404040404,0.029988123515439426,0.9700118764845606,0.029988123515439436
25,Industrial Dataset,60.73737373737374,SUPERPOINT,0.46464646464646464,0.007650091468484949,0.9923499085315151,0.007650091468484946
