,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial agast(65),1509.3232323232323,AGAST,11.414141414141413,0.00756242345555905,0.992437576544441,0.0075624234555590345
1,Industrial agast(65),1847.111111111111,AGAST,144.32323232323233,0.07813456995362675,0.9218654300463732,0.07813456995362676
2,Industrial agast(65),1844.060606060606,AGAST,74.1010101010101,0.040183608856169416,0.9598163911438305,0.04018360885616943
3,Industrial agast(65),1571.4343434343434,AGAST,72.04040404040404,0.045843725091918856,0.9541562749080812,0.045843725091918835
4,Industrial agast(65),937.1414141414141,AGAST,12.181818181818182,0.012998911368119254,0.9870010886318809,0.012998911368119202
5,Industrial agast(65),914.070707070707,AGAST,4.070707070707071,0.004453383134607097,0.9955466168653929,0.0044533831346070885
6,Industrial agast(65),854.3333333333334,AGAST,1.7171717171717171,0.0020099551898225326,0.9979900448101775,0.0020099551898225157
7,Industrial agast(65),93.74747474747475,AGAST,0.050505050505050504,0.0005387350501023596,0.9994612649498976,0.0005387350501023693
8,Industrial agast(65),281.7979797979798,AGAST,0.12121212121212122,0.00043013836117284396,0.9995698616388271,0.00043013836117286884
9,Industrial agast(65),796.9191919191919,AGAST,8.303030303030303,0.010418911211103365,0.9895810887888967,0.01041891121110332
10,Industrial agast(65),1534.939393939394,AGAST,0.08080808080808081,5.264577945366843e-05,0.9999473542205464,5.264577945364951e-05
11,Industrial agast(65),1880.3636363636363,AGAST,0.0707070707070707,3.760287071058682e-05,0.9999623971292894,3.760287071061349e-05
12,Industrial agast(65),1663.5757575757575,AGAST,0.09090909090909091,5.464679951910817e-05,0.999945353200481,5.464679951908089e-05
13,Industrial agast(65),879.2121212121212,AGAST,0.1717171717171717,0.0001953080122239838,0.999804691987776,0.00019530801222399427
14,Industrial agast(65),243.59595959595958,AGAST,0.1111111111111111,0.00045612871122905957,0.999543871288771,0.0004561287112290399
15,Industrial agast(65),89.32323232323232,AGAST,0.3434343434343434,0.003844849033133552,0.9961551509668665,0.0038448490331335432
16,Industrial agast(65),168.36363636363637,AGAST,0.16161616161616163,0.0009599232061435085,0.9990400767938564,0.0009599232061435421
17,Industrial agast(65),273.5151515151515,AGAST,4.666666666666667,0.017061821404830493,0.9829381785951694,0.017061821404830542
18,Industrial agast(65),124.84848484848484,AGAST,4.696969696969697,0.037621359223300975,0.962378640776699,0.03762135922330099
19,Industrial agast(65),113.31313131313131,AGAST,0.1717171717171717,0.0015154216437867714,0.9984845783562132,0.0015154216437867948
20,Industrial agast(65),126.71717171717172,AGAST,0.47474747474747475,0.0037465125548027103,0.9962534874451973,0.0037465125548027246
21,Industrial agast(65),171.92929292929293,AGAST,0.5151515151515151,0.0029962986898537103,0.9970037013101464,0.0029962986898536687
22,Industrial agast(65),137.76767676767676,AGAST,0.20202020202020202,0.0014663831659212552,0.9985336168340787,0.001466383165921274
23,Industrial agast(65),220.06060606060606,AGAST,8.303030303030303,0.037730652712751306,0.9622693472872487,0.03773065271275132
24,Industrial agast(65),101.62626262626263,AGAST,0.1414141414141414,0.001391511778153265,0.9986084882218467,0.0013915117781532983
25,Industrial agast(65),88.16161616161617,AGAST,0.494949494949495,0.005614115490375802,0.9943858845096242,0.005614115490375814
26,Industrial agast(65),84.29292929292929,AGAST,0.37373737373737376,0.004433792690233674,0.9955662073097664,0.004433792690233629
27,Industrial agast(65),191.05050505050505,AGAST,7.141414141414141,0.03737971872686898,0.962620281273131,0.03737971872686897
28,Industrial agast(65),98.08080808080808,AGAST,0.6060606060606061,0.006179196704428424,0.9938208032955715,0.0061791967044284414
29,Industrial agast(65),196.84848484848484,AGAST,0.1717171717171717,0.0008723316912972086,0.9991276683087028,0.0008723316912971993
30,Industrial agast(65),266.2828282828283,AGAST,0.2727272727272727,0.001024201502162203,0.9989757984978379,0.0010242015021621476
31,Industrial agast(65),445.65656565656565,AGAST,5.0606060606060606,0.011355394378966455,0.9886446056210335,0.011355394378966474
32,Industrial agast(65),767.6464646464647,AGAST,30.03030303030303,0.03911996526178665,0.9608800347382134,0.039119965261786634
33,Industrial agast(65),673.7171717171717,AGAST,0.0707070707070707,0.0001049506731836037,0.9998950493268164,0.0001049506731836081
34,Industrial agast(65),1058.8383838383838,AGAST,0.10101010101010101,9.539709038874314e-05,0.9999046029096113,9.539709038874612e-05
35,Industrial agast(65),310.62626262626264,AGAST,26.575757575757574,0.08555541103017689,0.9144445889698232,0.08555541103017686
36,Industrial agast(65),185.74747474747474,AGAST,0.3434343434343434,0.001848931426396215,0.9981510685736037,0.0018489314263962602
37,Industrial agast(65),296.65656565656565,AGAST,0.20202020202020202,0.0006809901596921924,0.9993190098403077,0.0006809901596922221
38,Industrial agast(65),681.9494949494949,AGAST,25.595959595959595,0.03753351206434316,0.9624664879356568,0.037533512064343175
39,Industrial agast(65),1041.3333333333333,AGAST,18.393939393939394,0.017663834245140266,0.9823361657548597,0.017663834245140276
40,Industrial agast(65),899.060606060606,AGAST,12.232323232323232,0.013605671464042153,0.9863943285359579,0.01360567146404214
41,Industrial agast(65),459.73737373737373,AGAST,14.232323232323232,0.03095750758008525,0.9690424924199148,0.03095750758008522
42,Industrial agast(65),215.42424242424244,AGAST,1.4141414141414141,0.006564448820743658,0.9934355511792563,0.006564448820743677
43,Industrial agast(65),390.32323232323233,AGAST,20.939393939393938,0.05364629159981367,0.9463537084001863,0.05364629159981369
44,Industrial agast(65),454.90909090909093,AGAST,19.525252525252526,0.042921218580691,0.957078781419309,0.042921218580690985
45,Industrial agast(65),210.5151515151515,AGAST,0.23232323232323232,0.0011035938774530973,0.9988964061225468,0.0011035938774531385
46,Industrial agast(65),113.55555555555556,AGAST,0.12121212121212122,0.0010674257249599715,0.99893257427504,0.0010674257249599815
47,Industrial agast(65),215.7979797979798,AGAST,1.898989898989899,0.008799850215315484,0.9912001497846845,0.008799850215315484
48,Industrial agast(65),140.97979797979798,AGAST,1.4444444444444444,0.01024575481837071,0.9897542451816292,0.010245754818370733
49,Industrial agast(65),373.0808080808081,AGAST,15.585858585858587,0.04177609313659131,0.9582239068634086,0.041776093136591336
50,Industrial agast(65),149.27272727272728,AGAST,13.494949494949495,0.09040465556908918,0.9095953444309107,0.09040465556908925
51,Industrial agast(65),202.13131313131314,AGAST,17.414141414141415,0.08615261606116636,0.9138473839388336,0.08615261606116639
52,Industrial agast(65),226.2828282828283,AGAST,4.484848484848484,0.019819658959021512,0.9801803410409784,0.019819658959021557
53,Industrial agast(65),111.61616161616162,AGAST,4.444444444444445,0.039819004524886875,0.9601809954751132,0.03981900452488686
54,Industrial agast(65),62.4040404040404,AGAST,0.21212121212121213,0.0033991583036581422,0.9966008416963419,0.003399158303658127
55,Industrial agast(65),123.47474747474747,AGAST,0.43434343434343436,0.003517670157068063,0.996482329842932,0.0035176701570680587
56,Industrial agast(65),258.42424242424244,AGAST,30.424242424242426,0.1177298311444653,0.8822701688555347,0.11772983114446532
57,Industrial agast(65),395.020202020202,AGAST,21.22222222222222,0.05372439716674764,0.9462756028332523,0.05372439716674767
