,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial,1010.10101010101,ORB,0.9191919191919192,0.0009100000000000001,0.99909,0.0009099999999999831
1,Industrial,1010.10101010101,ORB,1.6565656565656566,0.0016400000000000002,0.9983599999999999,0.0016400000000000431
2,Industrial,1010.10101010101,ORB,0.4444444444444444,0.00044,0.99956,0.00043999999999999796
3,Industrial,1010.10101010101,ORB,0.7878787878787878,0.00078,0.99922,0.0007800000000000015
4,Industrial,1010.10101010101,ORB,0.0707070707070707,7.000000000000001e-05,0.99993,7.000000000000724e-05
5,Industrial,1010.10101010101,ORB,1.5252525252525253,0.00151,0.99849,0.0015100000000000057
6,Industrial,1010.10101010101,ORB,0.6161616161616161,0.00061,0.99939,0.0006099999999999998
7,Industrial,1010.10101010101,ORB,0.1111111111111111,0.00011,0.9998900000000001,0.00010999999999997172
8,Industrial,1010.10101010101,ORB,0.09090909090909091,9e-05,0.99991,9.000000000001724e-05
9,Industrial,1010.10101010101,ORB,0.06060606060606061,6e-05,0.99994,5.9999999999974496e-05
10,Industrial,1010.10101010101,ORB,0.06060606060606061,6e-05,0.99994,5.9999999999974496e-05
11,Industrial,1010.10101010101,ORB,0.06060606060606061,6e-05,0.99994,5.9999999999974496e-05
12,Industrial,1010.10101010101,ORB,1.292929292929293,0.00128,0.9987199999999999,0.0012800000000000296
13,Industrial,1010.10101010101,ORB,0.3333333333333333,0.00033,0.99967,0.00033000000000002624
14,Industrial,1010.10101010101,ORB,0.1111111111111111,0.00011,0.9998900000000001,0.00010999999999997172
15,Industrial,1010.10101010101,ORB,0.8181818181818182,0.0008100000000000001,0.9991899999999999,0.0008100000000000442
16,Industrial,1010.10101010101,ORB,0.10101010101010101,0.0001,0.9999,9.999999999999449e-05
17,Industrial,1010.10101010101,ORB,0.09090909090909091,9e-05,0.99991,9.000000000001724e-05
18,Industrial,1010.10101010101,ORB,1.202020202020202,0.00119,0.99881,0.0011900000000000122
19,Industrial,1010.10101010101,ORB,0.32323232323232326,0.00032,0.99968,0.0003199999999999935
20,Industrial,1010.10101010101,ORB,0.09090909090909091,9e-05,0.99991,9.000000000001724e-05
21,Industrial,1010.10101010101,ORB,1.0707070707070707,0.00106,0.99894,0.0010599999999999748
22,Industrial,1010.10101010101,ORB,1.3333333333333333,0.00132,0.99868,0.001319999999999994
23,Industrial,1010.10101010101,ORB,0.9494949494949495,0.0009400000000000001,0.9990600000000001,0.0009399999999999705
24,Industrial,1010.10101010101,ORB,0.98989898989899,0.0009800000000000002,0.99902,0.0009799999999999906
