,Dataset,Number of Keypoints,Detector/Descriptor
0,Industrial_Estate,0.0008,ORB
1,Industrial_Estate,0.0008,ORB
2,Industrial_Estate,0.0008,ORB
3,Industrial_Estate,0.0008,ORB
4,Industrial_Estate,0.0008,ORB
5,Industrial_Estate,0.0008,ORB
6,Industrial_Estate,0.0008,ORB
7,Industrial_Estate,0.0008,ORB
8,Industrial_Estate,0.0008,ORB
9,Industrial_Estate,0.0008,ORB
10,Industrial_Estate,0.0008,ORB
11,Industrial_Estate,0.0008,ORB
12,Industrial_Estate,0.0008,ORB
13,Industrial_Estate,0.0008,ORB
14,Industrial_Estate,0.0008,ORB
15,Industrial_Estate,0.0008,ORB
16,Industrial_Estate,0.0008,ORB
17,Industrial_Estate,0.0008,ORB
18,Industrial_Estate,0.0008,ORB
19,Industrial_Estate,0.0008,ORB
20,Industrial_Estate,0.0008,ORB
21,Industrial_Estate,0.0008,ORB
22,Industrial_Estate,0.0008,ORB
23,Industrial_Estate,0.0008,ORB
24,Industrial_Estate,0.0008,ORB
25,Industrial_Estate,0.0008,ORB
26,Industrial_Estate,0.0008,ORB
27,Industrial_Estate,0.0008,ORB
28,Industrial_Estate,0.0008,ORB
29,Industrial_Estate,0.0008,ORB
30,Industrial_Estate,0.0008,ORB
31,Industrial_Estate,0.0008,ORB
32,Industrial_Estate,0.0008,ORB
33,Industrial_Estate,0.0008,ORB
34,Industrial_Estate,0.0008,ORB
35,Industrial_Estate,0.0008,ORB
36,Industrial_Estate,0.0008,ORB
37,Industrial_Estate,0.0008,ORB
38,Industrial_Estate,0.0008,ORB
39,Industrial_Estate,0.0008,ORB
40,Industrial_Estate,0.0008,ORB
41,Industrial_Estate,0.0008,ORB
42,Industrial_Estate,0.0008,ORB
43,Industrial_Estate,0.0008,ORB
44,Industrial_Estate,0.0008,ORB
45,Industrial_Estate,0.0008,ORB
46,Industrial_Estate,0.0008,ORB
47,Industrial_Estate,0.0008,ORB
48,Industrial_Estate,0.0008,ORB
49,Industrial_Estate,0.0008,ORB
50,Industrial_Estate,0.0008,ORB
51,Industrial_Estate,0.0008,ORB
52,Industrial_Estate,0.0008,ORB
53,Industrial_Estate,0.0008,ORB
54,Industrial_Estate,0.0008,ORB
55,Industrial_Estate,0.0008,ORB
56,Industrial_Estate,0.0008,ORB
57,Industrial_Estate,0.0008,ORB
58,Industrial_Estate,0.0008,ORB
59,Industrial_Estate,0.0008,ORB
60,Industrial_Estate,0.0008,ORB
61,Industrial_Estate,0.0008,ORB
62,Industrial_Estate,0.0007888099999999999,ORB
63,Industrial_Estate,0.0008,ORB
64,Industrial_Estate,0.0008,ORB
65,Industrial_Estate,0.0008,ORB
66,Industrial_Estate,0.0008,ORB
67,Industrial_Estate,0.0008,ORB
68,Industrial_Estate,0.0008,ORB
69,Industrial_Estate,0.0008,ORB
70,Industrial_Estate,0.0008,ORB
71,Industrial_Estate,0.0008,ORB
72,Industrial_Estate,0.0008,ORB
73,Industrial_Estate,0.0008,ORB
74,Industrial_Estate,0.0008,ORB
75,Industrial_Estate,0.0008,ORB
76,Industrial_Estate,0.0008,ORB
77,Industrial_Estate,0.0008,ORB
78,Industrial_Estate,0.0008,ORB
79,Industrial_Estate,0.0008,ORB
80,Industrial_Estate,0.0008,ORB
81,Industrial_Estate,0.0007979500000000001,ORB
82,Industrial_Estate,0.0008,ORB
83,Industrial_Estate,0.0008,ORB
84,Industrial_Estate,0.0008,ORB
85,Industrial_Estate,0.0008,ORB
86,Industrial_Estate,0.0007945399999999999,ORB
87,Industrial_Estate,0.0008,ORB
88,Industrial_Estate,0.0008,ORB
89,Industrial_Estate,0.0008,ORB
90,Industrial_Estate,0.0008,ORB
91,Industrial_Estate,0.0008,ORB
92,Industrial_Estate,0.0008,ORB
93,Industrial_Estate,0.0008,ORB
94,Industrial_Estate,0.0008,ORB
95,Industrial_Estate,0.0008,ORB
96,Industrial_Estate,0.0008,ORB
97,Industrial_Estate,0.0008,ORB
98,Industrial_Estate,0.0008,ORB
99,Industrial_Estate,0.0008,ORB
