,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial,909.0909090909091,ORB,1.1717171717171717,0.001288888888888889,0.9987111111111111,0.001288888888888892
1,Industrial,909.0909090909091,ORB,2.414141414141414,0.002655555555555555,0.9973444444444444,0.002655555555555594
2,Industrial,909.0909090909091,ORB,1.0808080808080809,0.0011888888888888889,0.9988111111111111,0.0011888888888888975
3,Industrial,909.0909090909091,ORB,1.202020202020202,0.0013222222222222222,0.9986777777777778,0.0013222222222222235
4,Industrial,909.0909090909091,ORB,0.0707070707070707,7.777777777777777e-05,0.9999222222222223,7.777777777775499e-05
5,Industrial,909.0909090909091,ORB,1.5858585858585859,0.0017444444444444443,0.9982555555555556,0.0017444444444444408
6,Industrial,909.0909090909091,ORB,1.0101010101010102,0.0011111111111111111,0.9988888888888888,0.0011111111111111423
7,Industrial,899.1717171717172,ORB,0.09090909090909091,0.0001011031476779977,0.9998988968523219,0.00010110314767804048
8,Industrial,909.0909090909091,ORB,0.0707070707070707,7.777777777777777e-05,0.9999222222222223,7.777777777775499e-05
9,Industrial,909.0909090909091,ORB,0.29292929292929293,0.0003222222222222222,0.9996777777777778,0.000322222222222223
10,Industrial,909.0909090909091,ORB,0.0707070707070707,7.777777777777777e-05,0.9999222222222223,7.777777777775499e-05
11,Industrial,909.0909090909091,ORB,0.42424242424242425,0.00046666666666666666,0.9995333333333334,0.00046666666666664097
12,Industrial,909.0909090909091,ORB,1.8686868686868687,0.0020555555555555557,0.9979444444444445,0.0020555555555555167
13,Industrial,909.0909090909091,ORB,0.6060606060606061,0.0006666666666666666,0.9993333333333333,0.0006666666666666855
14,Industrial,876.3737373737374,ORB,0.08080808080808081,9.22073281774069e-05,0.9999077926718226,9.220732817739595e-05
15,Industrial,844.4646464646464,ORB,1.1414141414141414,0.0013516423052080094,0.9986483576947921,0.0013516423052079552
16,Industrial,855.8585858585859,ORB,0.09090909090909091,0.0001062197568747787,0.9998937802431251,0.00010621975687481889
17,Industrial,901.7878787878788,ORB,0.5454545454545454,0.000604859034241742,0.9993951409657583,0.0006048590342417101
18,Industrial,878.0808080808081,ORB,0.1717171717171717,0.00019555964569193602,0.999804440354308,0.0001955596456919461
19,Industrial,855.7373737373738,ORB,0.2828282828282828,0.00033050827451072966,0.9996694917254892,0.00033050827451074213
20,Industrial,852.1313131313132,ORB,0.10101010101010101,0.00011853818707696684,0.9998814618129231,0.00011853818707691111
21,Industrial,864.2020202020202,ORB,1.1818181818181819,0.0013675253635046052,0.9986324746364954,0.0013675253635046004
22,Industrial,865.4747474747475,ORB,1.8080808080808082,0.0020891202352886257,0.9979108797647114,0.002089120235288624
23,Industrial,840.7171717171717,ORB,1.0505050505050506,0.0012495344282779253,0.9987504655717221,0.0012495344282779175
