,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial(FASTBRISK)(55)(0.35),905.5555555555555,BRISK+FREAK,1.9090909090909092,0.0021081985499163416,0.9978918014500837,0.002108198549916313
1,Industrial(FASTBRISK)(55)(0.35),1163.040404040404,BRISK+FREAK,3.3535353535353534,0.0028834211966197966,0.9971165788033802,0.0028834211966197844
2,Industrial(FASTBRISK)(55)(0.35),1258.8080808080808,BRISK+FREAK,1.5454545454545454,0.0012277126029112033,0.9987722873970888,0.001227712602911208
3,Industrial(FASTBRISK)(55)(0.35),1166.6363636363637,BRISK+FREAK,1.8585858585858586,0.001593114972683273,0.9984068850273167,0.0015931149726833012
4,Industrial(FASTBRISK)(55)(0.35),756.010101010101,BRISK+FREAK,0.6464646464646465,0.0008551005411183112,0.9991448994588816,0.0008551005411183405
5,Industrial(FASTBRISK)(55)(0.35),707.1313131313132,BRISK+FREAK,2.1616161616161618,0.003056880838785247,0.9969431191612147,0.0030568808387852744
6,Industrial(FASTBRISK)(55)(0.35),697.989898989899,BRISK+FREAK,1.0505050505050506,0.001505043342353946,0.998494956657646,0.001505043342353982
7,Industrial(FASTBRISK)(55)(0.35),125.87878787878788,BRISK+FREAK,0.20202020202020202,0.0016048788316482105,0.9983951211683517,0.0016048788316482463
8,Industrial(FASTBRISK)(55)(0.35),293.4848484848485,BRISK+FREAK,0.10101010101010101,0.0003441748408191361,0.9996558251591808,0.0003441748408191515
9,Industrial(FASTBRISK)(55)(0.35),599.3232323232323,BRISK+FREAK,0.5858585858585859,0.000977533581649335,0.9990224664183507,0.0009775335816493249
10,Industrial(FASTBRISK)(55)(0.35),1001.1515151515151,BRISK+FREAK,0.31313131313131315,0.00031277115241035576,0.9996872288475896,0.0003127711524103537
11,Industrial(FASTBRISK)(55)(0.35),1089.5555555555557,BRISK+FREAK,0.6262626262626263,0.0005747872360150557,0.999425212763985,0.000574787236015031
12,Industrial(FASTBRISK)(55)(0.35),1086.8989898989898,BRISK+FREAK,1.8282828282828283,0.0016821092348726337,0.9983178907651273,0.0016821092348726489
13,Industrial(FASTBRISK)(55)(0.35),588.2323232323232,BRISK+FREAK,0.6464646464646465,0.0010989954494719672,0.998901004550528,0.001098995449471987
14,Industrial(FASTBRISK)(55)(0.35),152.5252525252525,BRISK+FREAK,0.35353535353535354,0.002317880794701987,0.9976821192052979,0.0023178807947020316
15,Industrial(FASTBRISK)(55)(0.35),99.86868686868686,BRISK+FREAK,0.32323232323232326,0.0032365732780418733,0.9967634267219582,0.0032365732780418525
16,Industrial(FASTBRISK)(55)(0.35),153.62626262626262,BRISK+FREAK,0.08080808080808081,0.0005260043395358012,0.9994739956604641,0.0005260043395358347
17,Industrial(FASTBRISK)(55)(0.35),214.33333333333334,BRISK+FREAK,0.30303030303030304,0.0014138272303124558,0.9985861727696875,0.0014138272303124628
18,Industrial(FASTBRISK)(55)(0.35),627.3434343434343,BRISK+FREAK,0.31313131313131315,0.0004991385834124979,0.9995008614165876,0.0004991385834124687
19,Industrial(FASTBRISK)(55)(0.35),483.6868686868687,BRISK+FREAK,0.31313131313131315,0.0006473843583585674,0.9993526156416415,0.0006473843583585528
20,Industrial(FASTBRISK)(55)(0.35),98.42424242424242,BRISK+FREAK,0.0707070707070707,0.0007183908045977011,0.9992816091954023,0.0007183908045976904
21,Industrial(FASTBRISK)(55)(0.35),132.010101010101,BRISK+FREAK,0.3939393939393939,0.0029841609916596524,0.9970158390083402,0.0029841609916597097
22,Industrial(FASTBRISK)(55)(0.35),114.4040404040404,BRISK+FREAK,0.5454545454545454,0.00476779092353876,0.9952322090764613,0.00476779092353875
23,Industrial(FASTBRISK)(55)(0.35),128.13131313131314,BRISK+FREAK,0.3333333333333333,0.00260149783208514,0.9973985021679149,0.0026014978320851078
24,Industrial(FASTBRISK)(55)(0.35),193.62626262626262,BRISK+FREAK,0.43434343434343436,0.0022432051750221715,0.9977567948249778,0.00224320517502218
25,Industrial(FASTBRISK)(55)(0.35),157.33333333333334,BRISK+FREAK,0.09090909090909091,0.0005778120184899845,0.99942218798151,0.0005778120184900191
26,Industrial(FASTBRISK)(55)(0.35),101.18181818181819,BRISK+FREAK,0.26262626262626265,0.0025955875012478786,0.9974044124987522,0.0025955875012478274
27,Industrial(FASTBRISK)(55)(0.35),202.65656565656565,BRISK+FREAK,0.2828282828282828,0.0013956038478791805,0.9986043961521208,0.0013956038478791797
