,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial(FASTBRISK)(65),2215.929292929293,BRISK+FREAK,3.919191919191919,0.0017686448442635282,0.9982313551557364,0.0017686448442635865
1,Industrial(FASTBRISK)(65),2755.717171717172,BRISK+FREAK,4.313131313131313,0.00156515746877016,0.9984348425312299,0.001565157468770111
2,Industrial(FASTBRISK)(65),2854.5353535353534,BRISK+FREAK,2.909090909090909,0.0010191118864539507,0.998980888113546,0.0010191118864539667
3,Industrial(FASTBRISK)(65),2455.59595959596,BRISK+FREAK,2.8686868686868685,0.0011682242990654205,0.9988317757009346,0.0011682242990653997
4,Industrial(FASTBRISK)(65),1482.989898989899,BRISK+FREAK,0.696969696969697,0.0004699760244115083,0.9995300239755884,0.00046997602441153767
5,Industrial(FASTBRISK)(65),1463.7474747474748,BRISK+FREAK,4.787878787878788,0.003270973218044179,0.9967290267819559,0.003270973218044164
6,Industrial(FASTBRISK)(65),1401.3838383838383,BRISK+FREAK,1.8383838383838385,0.0013118346223429944,0.998688165377657,0.0013118346223429805
7,Industrial(FASTBRISK)(65),170.33333333333334,BRISK+FREAK,0.10101010101010101,0.0005930142916444285,0.9994069857083555,0.0005930142916444589
8,Industrial(FASTBRISK)(65),464.2020202020202,BRISK+FREAK,0.10101010101010101,0.00021759944294542604,0.9997824005570546,0.00021759944294542067
9,Industrial(FASTBRISK)(65),1166.5151515151515,BRISK+FREAK,0.7373737373737373,0.0006321167251158159,0.9993678832748842,0.0006321167251157885
10,Industrial(FASTBRISK)(65),2246.0,BRISK+FREAK,0.6464646464646465,0.0002878293172148916,0.9997121706827851,0.0002878293172149149
11,Industrial(FASTBRISK)(65),2726.7373737373737,BRISK+FREAK,1.202020202020202,0.0004408272735018355,0.9995591727264981,0.0004408272735018779
12,Industrial(FASTBRISK)(65),2532.8282828282827,BRISK+FREAK,2.707070707070707,0.0010687936191425725,0.9989312063808574,0.0010687936191425777
13,Industrial(FASTBRISK)(65),1308.939393939394,BRISK+FREAK,0.8282828282828283,0.0006327892888837442,0.9993672107111162,0.0006327892888837585
14,Industrial(FASTBRISK)(65),314.4040404040404,BRISK+FREAK,2.080808080808081,0.006618261260682387,0.9933817387393176,0.006618261260682411
15,Industrial(FASTBRISK)(65),146.64646464646464,BRISK+FREAK,0.3434343434343434,0.00234192037470726,0.9976580796252926,0.0023419203747073168
16,Industrial(FASTBRISK)(65),247.46464646464648,BRISK+FREAK,0.12121212121212122,0.0004898159108535042,0.9995101840891465,0.0004898159108535062
17,Industrial(FASTBRISK)(65),392.8686868686869,BRISK+FREAK,0.5151515151515151,0.0013112562348948423,0.9986887437651052,0.0013112562348948254
18,Industrial(FASTBRISK)(65),551.969696969697,BRISK+FREAK,0.37373737373737376,0.0006770976301582945,0.9993229023698417,0.0006770976301583121
19,Industrial(FASTBRISK)(65),236.93939393939394,BRISK+FREAK,0.20202020202020202,0.0008526239502067613,0.9991473760497932,0.0008526239502067802
20,Industrial(FASTBRISK)(65),196.6060606060606,BRISK+FREAK,0.15151515151515152,0.0007706535141800248,0.99922934648582,0.0007706535141800333
21,Industrial(FASTBRISK)(65),241.15151515151516,BRISK+FREAK,0.6161616161616161,0.0025550808410823487,0.9974449191589176,0.002555080841082353
22,Industrial(FASTBRISK)(65),204.44444444444446,BRISK+FREAK,0.5454545454545454,0.00266798418972332,0.9973320158102768,0.0026679841897232844
23,Industrial(FASTBRISK)(65),277.4949494949495,BRISK+FREAK,0.3333333333333333,0.0012012230634828188,0.9987987769365172,0.0012012230634828112
24,Industrial(FASTBRISK)(65),187.58585858585857,BRISK+FREAK,0.2727272727272727,0.0014538797049162672,0.9985461202950837,0.0014538797049162752
25,Industrial(FASTBRISK)(65),169.13131313131314,BRISK+FREAK,0.1111111111111111,0.0006569517439082656,0.9993430482560918,0.0006569517439082476
26,Industrial(FASTBRISK)(65),152.010101010101,BRISK+FREAK,0.3434343434343434,0.0022592863313176956,0.9977407136686822,0.002259286331317737
27,Industrial(FASTBRISK)(65),284.8686868686869,BRISK+FREAK,0.5454545454545454,0.0019147578185944255,0.9980852421814055,0.0019147578185944702
28,Industrial(FASTBRISK)(65),157.06060606060606,BRISK+FREAK,0.35353535353535354,0.0022509486140587817,0.9977490513859412,0.0022509486140588077
29,Industrial(FASTBRISK)(65),267.37373737373736,BRISK+FREAK,0.08080808080808081,0.00030222893842085386,0.9996977710615791,0.0003022289384208829
30,Industrial(FASTBRISK)(65),344.8181818181818,BRISK+FREAK,0.3434343434343434,0.0009959867592348479,0.9990040132407652,0.000995986759234847
31,Industrial(FASTBRISK)(65),732.7474747474747,BRISK+FREAK,0.7474747474747475,0.0010200987014419233,0.9989799012985581,0.0010200987014419263
32,Industrial(FASTBRISK)(65),1135.3030303030303,BRISK+FREAK,2.0,0.0017616442012545043,0.9982383557987455,0.0017616442012544844
33,Industrial(FASTBRISK)(65),1003.0909090909091,BRISK+FREAK,0.6565656565656566,0.0006545425251243631,0.9993454574748756,0.0006545425251243937
