,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial Dataset,6.565656565656566,SIFT,0.13131313131313133,0.02,0.98,0.020000000000000007
1,Industrial Dataset,6.565656565656566,SIFT,0.30303030303030304,0.046153846153846156,0.9538461538461539,0.04615384615384613
2,Industrial Dataset,6.585858585858586,SIFT,0.0707070707070707,0.010736196319018405,0.9892638036809815,0.01073619631901843
3,Industrial Dataset,6.575757575757576,SIFT,0.26262626262626265,0.039938556067588324,0.9600614439324117,0.03993855606758833
4,Industrial Dataset,6.565656565656566,SIFT,0.06060606060606061,0.009230769230769232,0.9907692307692307,0.009230769230769249
5,Industrial Dataset,6.565656565656566,SIFT,0.12121212121212122,0.018461538461538463,0.9815384615384616,0.018461538461538442
6,Industrial Dataset,6.565656565656566,SIFT,0.15151515151515152,0.023076923076923078,0.9769230769230769,0.023076923076923092
7,Industrial Dataset,6.565656565656566,SIFT,0.1717171717171717,0.026153846153846153,0.9738461538461539,0.026153846153846114
8,Industrial Dataset,6.565656565656566,SIFT,0.2222222222222222,0.033846153846153845,0.9661538461538461,0.03384615384615385
9,Industrial Dataset,6.565656565656566,SIFT,0.1717171717171717,0.026153846153846153,0.9738461538461539,0.026153846153846114
10,Industrial Dataset,6.565656565656566,SIFT,0.050505050505050504,0.007692307692307692,0.9923076923076923,0.007692307692307678
11,Industrial Dataset,6.565656565656566,SIFT,0.050505050505050504,0.007692307692307692,0.9923076923076923,0.007692307692307678
12,Industrial Dataset,6.565656565656566,SIFT,0.31313131313131315,0.047692307692307694,0.9523076923076923,0.047692307692307694
13,Industrial Dataset,6.565656565656566,SIFT,0.0707070707070707,0.010769230769230769,0.9892307692307692,0.010769230769230762
14,Industrial Dataset,6.565656565656566,SIFT,0.2727272727272727,0.04153846153846154,0.9584615384615385,0.04153846153846153
15,Industrial Dataset,6.565656565656566,SIFT,0.21212121212121213,0.03230769230769231,0.9676923076923077,0.03230769230769228
16,Industrial Dataset,6.585858585858586,SIFT,0.16161616161616163,0.0245398773006135,0.9754601226993865,0.024539877300613484
17,Industrial Dataset,6.565656565656566,SIFT,0.16161616161616163,0.02461538461538462,0.9753846153846154,0.02461538461538461
18,Industrial Dataset,6.565656565656566,SIFT,0.3434343434343434,0.052307692307692305,0.9476923076923077,0.05230769230769229
19,Industrial Dataset,6.575757575757576,SIFT,0.15151515151515152,0.02304147465437788,0.9769585253456221,0.023041474654377888
20,Industrial Dataset,6.565656565656566,SIFT,0.20202020202020202,0.030769230769230767,0.9692307692307691,0.030769230769230823
21,Industrial Dataset,6.575757575757576,SIFT,0.1414141414141414,0.02150537634408602,0.978494623655914,0.021505376344086013
22,Industrial Dataset,6.565656565656566,SIFT,0.5757575757575758,0.0876923076923077,0.9123076923076923,0.08769230769230772
