,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial Dataset,360.6666666666667,SURF+SIFT,8.484848484848484,0.023525457906234244,0.9764745420937657,0.023525457906234264
1,Industrial Dataset,439.1313131313131,SURF+SIFT,43.45454545454545,0.09895569765837052,0.9010443023416295,0.09895569765837052
2,Industrial Dataset,448.6060606060606,SURF+SIFT,9.969696969696969,0.022223723318022155,0.9777762766819778,0.022223723318022203
3,Industrial Dataset,395.3131313131313,SURF+SIFT,23.545454545454547,0.059561529026982835,0.9404384709730171,0.05956152902698285
4,Industrial Dataset,311.37373737373736,SURF+SIFT,3.393939393939394,0.010899889703497048,0.989100110296503,0.010899889703497014
5,Industrial Dataset,293.64646464646466,SURF+SIFT,6.393939393939394,0.021774276770664923,0.9782257232293351,0.021774276770664912
6,Industrial Dataset,295.3333333333333,SURF+SIFT,6.656565656565657,0.022539161365346467,0.9774608386346536,0.022539161365346432
7,Industrial Dataset,166.63636363636363,SURF+SIFT,2.9797979797979797,0.017882039158634903,0.982117960841365,0.01788203915863493
8,Industrial Dataset,218.7979797979798,SURF+SIFT,2.484848484848485,0.011356816398134897,0.9886431836018651,0.0113568163981349
9,Industrial Dataset,274.3838383838384,SURF+SIFT,14.828282828282829,0.054042114563392724,0.9459578854366072,0.054042114563392765
10,Industrial Dataset,354.3838383838384,SURF+SIFT,11.212121212121213,0.03163835366548854,0.9683616463345115,0.031638353665488526
11,Industrial Dataset,375.5353535353535,SURF+SIFT,9.95959595959596,0.0265210608424337,0.9734789391575663,0.02652106084243368
12,Industrial Dataset,411.24242424242425,SURF+SIFT,24.424242424242426,0.05939134920050107,0.940608650799499,0.059391349200501056
13,Industrial Dataset,279.020202020202,SURF+SIFT,2.808080808080808,0.010064077037251566,0.9899359229627483,0.010064077037251607
14,Industrial Dataset,170.08080808080808,SURF+SIFT,1.4242424242424243,0.008373916142059627,0.9916260838579403,0.00837391614205968
15,Industrial Dataset,139.96969696969697,SURF+SIFT,1.8282828282828283,0.013061990329797215,0.9869380096702028,0.013061990329797187
16,Industrial Dataset,164.06060606060606,SURF+SIFT,0.8585858585858586,0.005233345647087797,0.9947666543529122,0.005233345647087785
17,Industrial Dataset,215.74747474747474,SURF+SIFT,4.555555555555555,0.021115220750035114,0.978884779249965,0.02111522075003507
18,Industrial Dataset,226.21212121212122,SURF+SIFT,4.171717171717172,0.01844161643223934,0.9815583835677606,0.018441616432239374
19,Industrial Dataset,178.59595959595958,SURF+SIFT,2.707070707070707,0.0151575137152876,0.9848424862847125,0.015157513715287556
20,Industrial Dataset,405.90909090909093,SURF+SIFT,18.07070707070707,0.044519099166355595,0.9554809008336445,0.04451909916635557
21,Industrial Dataset,162.74747474747474,SURF+SIFT,1.9292929292929293,0.011854518371400198,0.9881454816285998,0.011854518371400185
22,Industrial Dataset,186.67676767676767,SURF+SIFT,3.888888888888889,0.0208322060494562,0.9791677939505438,0.02083220604945622
23,Industrial Dataset,173.94949494949495,SURF+SIFT,5.333333333333333,0.030660240404157713,0.9693397595958422,0.030660240404157768
24,Industrial Dataset,218.77777777777777,SURF+SIFT,8.97979797979798,0.04104529294981301,0.958954707050187,0.04104529294981298
25,Industrial Dataset,523.3232323232323,SURF+SIFT,24.484848484848484,0.046787237738616844,0.9532127622613832,0.04678723773861684
