,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial Dataset,655.8787878787879,SURF+SIFT,4.96969696969697,0.007577157641840695,0.9924228423581593,0.007577157641840721
1,Industrial Dataset,790.7878787878788,SURF+SIFT,24.353535353535353,0.030796546086245657,0.9692034539137544,0.03079654608624563
2,Industrial Dataset,810.1515151515151,SURF+SIFT,8.97979797979798,0.011084097001433825,0.9889159029985661,0.011084097001433845
3,Industrial Dataset,735.5959595959596,SURF+SIFT,9.686868686868687,0.013168735581676371,0.9868312644183236,0.013168735581676394
4,Industrial Dataset,585.8181818181819,SURF+SIFT,0.40404040404040403,0.0006897027381198703,0.9993102972618801,0.0006897027381198638
5,Industrial Dataset,552.4141414141415,SURF+SIFT,9.02020202020202,0.016328694984366142,0.9836713050156339,0.016328694984366104
6,Industrial Dataset,541.929292929293,SURF+SIFT,13.919191919191919,0.02568451659801308,0.9743154834019869,0.025684516598013078
7,Industrial Dataset,310.06060606060606,SURF+SIFT,6.5353535353535355,0.021077664842324734,0.9789223351576753,0.021077664842324692
8,Industrial Dataset,421.16161616161617,SURF+SIFT,4.212121212121212,0.010001199184554502,0.9899988008154456,0.010001199184554473
9,Industrial Dataset,546.3636363636364,SURF+SIFT,12.868686868686869,0.023553337030874467,0.9764466629691256,0.023553337030874415
10,Industrial Dataset,686.8585858585859,SURF+SIFT,21.373737373737374,0.031118104678009968,0.96888189532199,0.031118104678009992
11,Industrial Dataset,723.4242424242424,SURF+SIFT,19.95959595959596,0.027590443876624918,0.9724095561233751,0.02759044387662491
12,Industrial Dataset,752.7474747474747,SURF+SIFT,77.28282828282828,0.10266766860792785,0.8973323313920721,0.10266766860792784
13,Industrial Dataset,533.7171717171717,SURF+SIFT,2.6262626262626263,0.004920701010636285,0.9950792989893638,0.004920701010636263
14,Industrial Dataset,319.2020202020202,SURF+SIFT,1.797979797979798,0.005632733141356286,0.9943672668586437,0.005632733141356274
15,Industrial Dataset,243.68686868686868,SURF+SIFT,8.232323232323232,0.033782383419689116,0.9662176165803108,0.03378238341968916
16,Industrial Dataset,296.2929292929293,SURF+SIFT,1.3636363636363635,0.0046023250264207545,0.9953976749735792,0.004602325026420763
17,Industrial Dataset,391.949494949495,SURF+SIFT,2.484848484848485,0.006339716001340102,0.9936602839986599,0.006339716001340096
18,Industrial Dataset,517.7575757575758,SURF+SIFT,83.70707070707071,0.16167232432010614,0.8383276756798939,0.16167232432010614
19,Industrial Dataset,401.4646464646465,SURF+SIFT,48.09090909090909,0.11978865266071204,0.8802113473392881,0.11978865266071198
20,Industrial Dataset,520.969696969697,SURF+SIFT,98.91919191919192,0.18987513572204123,0.8101248642779587,0.18987513572204126
21,Industrial Dataset,301.3838383838384,SURF+SIFT,2.7474747474747474,0.009116198009183228,0.9908838019908167,0.009116198009183256
22,Industrial Dataset,343.85858585858585,SURF+SIFT,3.95959595959596,0.01151518712179073,0.9884848128782093,0.0115151871217907
23,Industrial Dataset,325.57575757575756,SURF+SIFT,6.898989898989899,0.02119012161826756,0.9788098783817325,0.02119012161826753
24,Industrial Dataset,651.6565656565657,SURF+SIFT,233.23232323232324,0.3579068109247605,0.6420931890752395,0.3579068109247605
25,Industrial Dataset,912.6464646464647,SURF+SIFT,142.34343434343435,0.15596777049760935,0.8440322295023905,0.1559677704976094
26,Industrial Dataset,403.050505050505,SURF+SIFT,4.01010101010101,0.009949375971129269,0.9900506240288708,0.009949375971129241
27,Industrial Dataset,318.989898989899,SURF+SIFT,5.191919191919192,0.016276124129195692,0.9837238758708043,0.016276124129195674
28,Industrial Dataset,364.8888888888889,SURF+SIFT,11.616161616161616,0.031834791274498946,0.968165208725501,0.031834791274498946
29,Industrial Dataset,329.85858585858585,SURF+SIFT,5.4646464646464645,0.016566634002939735,0.9834333659970602,0.01656663400293976
30,Industrial Dataset,360.27272727272725,SURF+SIFT,7.191919191919192,0.019962430257661146,0.9800375697423389,0.019962430257661118
31,Industrial Dataset,455.67676767676767,SURF+SIFT,9.868686868686869,0.02165720872495123,0.9783427912750488,0.02165720872495124
32,Industrial Dataset,552.7272727272727,SURF+SIFT,2.8383838383838382,0.005135233918128654,0.9948647660818714,0.00513523391812865
33,Industrial Dataset,579.5959595959596,SURF+SIFT,2.757575757575758,0.004757755315440921,0.9952422446845591,0.004757755315440895
34,Industrial Dataset,575.3737373737374,SURF+SIFT,11.94949494949495,0.02076823145254731,0.9792317685474528,0.02076823145254728
35,Industrial Dataset,431.04040404040404,SURF+SIFT,2.242424242424242,0.005202352775759847,0.9947976472242401,0.005202352775759857
36,Industrial Dataset,481.16161616161617,SURF+SIFT,4.1313131313131315,0.008586123648577727,0.9914138763514223,0.00858612364857771
37,Industrial Dataset,443.1818181818182,SURF+SIFT,15.282828282828282,0.03448433048433048,0.9655156695156695,0.03448433048433051
