,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Quarry Dataset,70.97979797979798,SUPERPOINT,1.8585858585858586,0.026184716095061903,0.9738152839049381,0.026184716095061903
1,Quarry Dataset,77.28282828282828,SUPERPOINT,2.121212121212121,0.02744739249771272,0.9725526075022872,0.027447392497712747
2,Quarry Dataset,77.29292929292929,SUPERPOINT,0.06060606060606061,0.000784108729743858,0.9992158912702561,0.00078410872974387
3,Quarry Dataset,68.87878787878788,SUPERPOINT,1.7272727272727273,0.02507699076110867,0.9749230092388912,0.025076990761108735
4,Quarry Dataset,64.8080808080808,SUPERPOINT,2.1515151515151514,0.033198254364089776,0.9668017456359103,0.03319825436408976
5,Quarry Dataset,58.72727272727273,SUPERPOINT,4.161616161616162,0.07086343309253526,0.9291365669074648,0.07086343309253522
6,Quarry Dataset,65.01010101010101,SUPERPOINT,6.9393939393939394,0.10674331883157241,0.8932566811684276,0.10674331883157241
7,Quarry Dataset,67.83838383838383,SUPERPOINT,8.04040404040404,0.11852293031566409,0.8814770696843359,0.11852293031566409
8,Quarry Dataset,72.73737373737374,SUPERPOINT,7.383838383838384,0.10151367865574225,0.8984863213442578,0.10151367865574225
9,Quarry Dataset,65.73737373737374,SUPERPOINT,7.545454545454546,0.11478180700676091,0.8852181929932391,0.1147818070067609
10,Quarry Dataset,65.34343434343434,SUPERPOINT,8.666666666666666,0.13263255526356468,0.8673674447364353,0.13263255526356468
11,Quarry Dataset,67.74747474747475,SUPERPOINT,6.565656565656566,0.09691367228268973,0.9030863277173102,0.09691367228268975
12,Quarry Dataset,75.32323232323232,SUPERPOINT,4.151515151515151,0.055115998390773774,0.9448840016092261,0.055115998390773815
13,Quarry Dataset,82.63636363636364,SUPERPOINT,2.0303030303030303,0.024569123579024566,0.9754308764209754,0.0245691235790246
14,Quarry Dataset,75.60606060606061,SUPERPOINT,0.16161616161616163,0.0021376085504342017,0.9978623914495658,0.0021376085504342065
15,Quarry Dataset,84.8989898989899,SUPERPOINT,0.050505050505050504,0.000594883997620464,0.9994051160023795,0.0005948839976204981
16,Quarry Dataset,93.8080808080808,SUPERPOINT,1.101010101010101,0.011736836438031658,0.9882631635619683,0.011736836438031676
17,Quarry Dataset,87.33333333333333,SUPERPOINT,2.2222222222222223,0.025445292620865142,0.9745547073791347,0.025445292620865197
18,Quarry Dataset,82.33333333333333,SUPERPOINT,3.8686868686868685,0.04698809961967857,0.9530119003803215,0.04698809961967855
19,Quarry Dataset,75.65656565656566,SUPERPOINT,6.03030303030303,0.07970627503337784,0.9202937249666222,0.07970627503337781
20,Quarry Dataset,74.44444444444444,SUPERPOINT,6.545454545454546,0.08792401628222525,0.9120759837177748,0.08792401628222525
21,Quarry Dataset,77.71717171717172,SUPERPOINT,8.11111111111111,0.10436703925136469,0.8956329607486353,0.10436703925136469
22,Quarry Dataset,79.12121212121212,SUPERPOINT,7.717171717171717,0.09753606536448359,0.9024639346355163,0.09753606536448363
23,Quarry Dataset,73.13131313131314,SUPERPOINT,6.575757575757576,0.0899171270718232,0.9100828729281768,0.0899171270718232
24,Quarry Dataset,74.96969696969697,SUPERPOINT,5.959595959595959,0.07949339800592832,0.9205066019940716,0.07949339800592835
25,Quarry Dataset,80.71717171717172,SUPERPOINT,3.121212121212121,0.03866850206482292,0.961331497935177,0.038668502064822946
26,Quarry Dataset,82.07070707070707,SUPERPOINT,0.7272727272727273,0.008861538461538462,0.9911384615384614,0.008861538461538525
27,Quarry Dataset,75.03030303030303,SUPERPOINT,0.6565656565656566,0.008750673128702207,0.9912493268712977,0.008750673128702232
28,Quarry Dataset,75.63636363636364,SUPERPOINT,0.06060606060606061,0.0008012820512820513,0.999198717948718,0.0008012820512820498
29,Quarry Dataset,85.04040404040404,SUPERPOINT,1.303030303030303,0.015322484855683572,0.9846775151443165,0.015322484855683561
30,Quarry Dataset,84.95959595959596,SUPERPOINT,0.8888888888888888,0.010462489596956366,0.9895375104030437,0.010462489596956325
31,Quarry Dataset,79.85858585858585,SUPERPOINT,1.4646464646464648,0.018340500885403493,0.9816594991145965,0.0183405008854035
32,Quarry Dataset,77.98989898989899,SUPERPOINT,3.111111111111111,0.03989120580235721,0.9601087941976427,0.03989120580235724
33,Quarry Dataset,76.16161616161617,SUPERPOINT,4.05050505050505,0.053183023872679036,0.946816976127321,0.053183023872679036
34,Quarry Dataset,74.1919191919192,SUPERPOINT,5.757575757575758,0.07760381211708645,0.9223961878829137,0.07760381211708639
35,Quarry Dataset,71.88888888888889,SUPERPOINT,7.101010101010101,0.09877757482085149,0.9012224251791485,0.09877757482085149
36,Quarry Dataset,72.63636363636364,SUPERPOINT,7.565656565656566,0.10415797524683632,0.8958420247531637,0.10415797524683633
37,Quarry Dataset,75.55555555555556,SUPERPOINT,4.838383838383838,0.06403743315508022,0.9359625668449199,0.06403743315508019
