,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Quarry,808.0808080808081,ORB,0.3333333333333333,0.0004125,0.9995875,0.0004125000000000189
1,Quarry,808.0808080808081,ORB,0.3434343434343434,0.000425,0.9995750000000001,0.0004249999999999488
2,Quarry,808.0808080808081,ORB,0.09090909090909091,0.0001125,0.9998874999999999,0.00011250000000003544
3,Quarry,808.0808080808081,ORB,0.12121212121212122,0.00015000000000000001,0.99985,0.00014999999999999175
4,Quarry,808.0808080808081,ORB,0.23232323232323232,0.0002875,0.9997125,0.00028749999999999804
5,Quarry,808.0808080808081,ORB,0.6363636363636364,0.0007875,0.9992125000000001,0.0007874999999999705
6,Quarry,808.0808080808081,ORB,1.1818181818181819,0.0014625,0.9985375000000001,0.0014624999999999612
7,Quarry,808.0808080808081,ORB,2.6464646464646466,0.003275,0.996725,0.0032750000000000136
8,Quarry,808.0808080808081,ORB,3.1818181818181817,0.0039375,0.9960625000000001,0.003937499999999964
9,Quarry,808.0808080808081,ORB,3.2323232323232323,0.004,0.996,0.004000000000000002
10,Quarry,808.0808080808081,ORB,4.575757575757576,0.005662500000000001,0.9943375,0.005662500000000008
11,Quarry,808.0808080808081,ORB,2.282828282828283,0.0028250000000000003,0.997175,0.0028249999999999833
12,Quarry,808.0808080808081,ORB,0.47474747474747475,0.0005875,0.9994125,0.0005874999999999816
13,Quarry,808.0808080808081,ORB,0.0707070707070707,8.75e-05,0.9999125,8.750000000000907e-05
14,Quarry,808.0808080808081,ORB,0.0707070707070707,8.75e-05,0.9999125,8.750000000000907e-05
15,Quarry,808.0808080808081,ORB,0.08080808080808081,0.0001,0.9999,9.999999999999449e-05
16,Quarry,808.0808080808081,ORB,0.0707070707070707,8.75e-05,0.9999125,8.750000000000907e-05
17,Quarry,808.0808080808081,ORB,0.0707070707070707,8.75e-05,0.9999125,8.750000000000907e-05
18,Quarry,808.0808080808081,ORB,0.6464646464646465,0.0008,0.9992,0.0008000000000000115
19,Quarry,808.0808080808081,ORB,2.282828282828283,0.0028250000000000003,0.997175,0.0028249999999999833
