,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Quarry Dataset,6.962025316455696,SIFT,0.9493670886075949,0.13636363636363635,0.8636363636363636,0.13636363636363635
1,Quarry Dataset,6.962025316455696,SIFT,0.4936708860759494,0.07090909090909091,0.9290909090909091,0.07090909090909091
2,Quarry Dataset,6.962025316455696,SIFT,0.0759493670886076,0.01090909090909091,0.989090909090909,0.010909090909090945
3,Quarry Dataset,6.962025316455696,SIFT,0.06329113924050633,0.009090909090909092,0.9909090909090909,0.00909090909090912
4,Quarry Dataset,6.962025316455696,SIFT,0.08860759493670886,0.012727272727272728,0.9872727272727273,0.012727272727272714
5,Quarry Dataset,6.962025316455696,SIFT,0.0759493670886076,0.01090909090909091,0.989090909090909,0.010909090909090945
6,Quarry Dataset,6.962025316455696,SIFT,0.06329113924050633,0.009090909090909092,0.9909090909090909,0.00909090909090912
7,Quarry Dataset,6.974683544303797,SIFT,0.0759493670886076,0.01088929219600726,0.9891107078039927,0.010889292196007289
8,Quarry Dataset,6.962025316455696,SIFT,0.11392405063291139,0.016363636363636365,0.9836363636363636,0.01636363636363636
9,Quarry Dataset,6.962025316455696,SIFT,0.5822784810126582,0.08363636363636363,0.9163636363636364,0.08363636363636363
10,Quarry Dataset,6.962025316455696,SIFT,0.21518987341772153,0.03090909090909091,0.969090909090909,0.030909090909090952
11,Quarry Dataset,6.962025316455696,SIFT,0.3670886075949367,0.052727272727272734,0.9472727272727273,0.052727272727272734
12,Quarry Dataset,6.962025316455696,SIFT,0.27848101265822783,0.04,0.9600000000000001,0.03999999999999996
13,Quarry Dataset,6.962025316455696,SIFT,0.2911392405063291,0.04181818181818182,0.9581818181818182,0.04181818181818179
14,Quarry Dataset,6.962025316455696,SIFT,0.189873417721519,0.027272727272727275,0.9727272727272727,0.027272727272727306
15,Quarry Dataset,6.962025316455696,SIFT,0.06329113924050633,0.009090909090909092,0.9909090909090909,0.00909090909090912
16,Quarry Dataset,6.962025316455696,SIFT,0.06329113924050633,0.009090909090909092,0.9909090909090909,0.00909090909090912
17,Quarry Dataset,6.974683544303797,SIFT,0.0759493670886076,0.01088929219600726,0.9891107078039927,0.010889292196007289
18,Quarry Dataset,6.962025316455696,SIFT,0.10126582278481013,0.014545454545454545,0.9854545454545455,0.014545454545454537
