,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Quarry Dataset,333.2121212121212,SURF+SIFT,11.83838383838384,0.0355280708136292,0.9644719291863708,0.035528070813629194
1,Quarry Dataset,326.57575757575756,SURF+SIFT,10.171717171717171,0.031146577588073366,0.9688534224119267,0.031146577588073317
2,Quarry Dataset,333.74747474747477,SURF+SIFT,0.7070707070707071,0.0021185799461275385,0.9978814200538724,0.0021185799461275845
3,Quarry Dataset,357.7979797979798,SURF+SIFT,11.484848484848484,0.03209869572582011,0.9679013042741799,0.03209869572582012
4,Quarry Dataset,329.25252525252523,SURF+SIFT,11.030303030303031,0.033501043072769666,0.9664989569272302,0.033501043072769736
5,Quarry Dataset,305.010101010101,SURF+SIFT,18.585858585858585,0.06093522320837197,0.9390647767916279,0.060935223208372025
6,Quarry Dataset,303.4848484848485,SURF+SIFT,18.95959595959596,0.06247295723082043,0.9375270427691795,0.06247295723082045
7,Quarry Dataset,307.8888888888889,SURF+SIFT,46.22222222222222,0.15012630819198844,0.8498736918080115,0.15012630819198844
8,Quarry Dataset,314.7878787878788,SURF+SIFT,18.12121212121212,0.057566422795533305,0.9424335772044666,0.05756642279553333
9,Quarry Dataset,291.73737373737373,SURF+SIFT,38.43434343434343,0.131742954089052,0.8682570459109481,0.13174295408905196
10,Quarry Dataset,291.2323232323232,SURF+SIFT,55.0,0.18885266370699225,0.8111473362930077,0.18885266370699225
11,Quarry Dataset,290.949494949495,SURF+SIFT,39.85858585858586,0.13699486182474657,0.8630051381752535,0.13699486182474654
12,Quarry Dataset,321.80808080808083,SURF+SIFT,15.494949494949495,0.04814965943689381,0.9518503405631062,0.04814965943689378
13,Quarry Dataset,376.4141414141414,SURF+SIFT,6.02020202020202,0.015993559640413255,0.9840064403595867,0.01599355964041326
14,Quarry Dataset,351.8181818181818,SURF+SIFT,2.3737373737373737,0.0067470571346540335,0.993252942865346,0.006747057134653994
15,Quarry Dataset,392.93939393939394,SURF+SIFT,1.3131313131313131,0.0033418164057479245,0.9966581835942522,0.0033418164057478733
16,Quarry Dataset,369.42424242424244,SURF+SIFT,13.151515151515152,0.03560003281109015,0.96439996718891,0.035600032811090095
17,Quarry Dataset,364.8989898989899,SURF+SIFT,17.22222222222222,0.04719723183391003,0.95280276816609,0.04719723183391002
18,Quarry Dataset,320.3838383838384,SURF+SIFT,23.616161616161616,0.073712087773504,0.926287912226496,0.073712087773504
19,Quarry Dataset,321.35353535353534,SURF+SIFT,35.81818181818182,0.11146036336204188,0.8885396366379581,0.11146036336204189
20,Quarry Dataset,325.09090909090907,SURF+SIFT,33.0,0.10151006711409397,0.8984899328859061,0.10151006711409395
21,Quarry Dataset,331.4646464646465,SURF+SIFT,37.19191919191919,0.11220478439737924,0.8877952156026209,0.11220478439737919
22,Quarry Dataset,333.07070707070704,SURF+SIFT,37.19191919191919,0.11166373506398981,0.8883362649360103,0.11166373506398979
23,Quarry Dataset,332.2929292929293,SURF+SIFT,20.434343434343436,0.061494969146122756,0.9385050308538773,0.06149496914612274
24,Quarry Dataset,352.19191919191917,SURF+SIFT,17.11111111111111,0.048584621561935354,0.9514153784380647,0.04858462156193534
25,Quarry Dataset,378.3636363636364,SURF+SIFT,18.575757575757574,0.04909498638475092,0.9509050136152492,0.049094986384750884
26,Quarry Dataset,386.37373737373736,SURF+SIFT,6.848484848484849,0.017725026796685056,0.9822749732033149,0.01772502679668507
27,Quarry Dataset,340.67676767676767,SURF+SIFT,8.88888888888889,0.026091855190203697,0.9739081448097963,0.026091855190203718
28,Quarry Dataset,357.5656565656566,SURF+SIFT,2.0303030303030303,0.005678126500748609,0.9943218734992515,0.005678126500748557
29,Quarry Dataset,401.0808080808081,SURF+SIFT,15.787878787878787,0.03936333643941874,0.9606366635605812,0.03936333643941877
30,Quarry Dataset,390.19191919191917,SURF+SIFT,23.68686868686869,0.06070568743689975,0.9392943125631003,0.06070568743689975
31,Quarry Dataset,384.65656565656565,SURF+SIFT,17.545454545454547,0.04561329797011634,0.9543867020298836,0.04561329797011636
32,Quarry Dataset,368.4848484848485,SURF+SIFT,22.717171717171716,0.06165021929824561,0.9383497807017545,0.06165021929824558
33,Quarry Dataset,345.32323232323233,SURF+SIFT,17.32323232323232,0.05016526749934185,0.9498347325006581,0.05016526749934188
34,Quarry Dataset,326.030303030303,SURF+SIFT,24.535353535353536,0.07525482541747995,0.9247451745825201,0.0752548254174799
35,Quarry Dataset,315.26262626262627,SURF+SIFT,31.272727272727273,0.0991957963538496,0.9008042036461504,0.09919579635384958
36,Quarry Dataset,316.14141414141415,SURF+SIFT,27.545454545454547,0.08713016806185699,0.912869831938143,0.08713016806185701
37,Quarry Dataset,328.62626262626264,SURF+SIFT,19.484848484848484,0.05929181779061904,0.9407081822093809,0.05929181779061907
38,Quarry Dataset,344.22222222222223,SURF+SIFT,10.98989898989899,0.031926756265039026,0.9680732437349608,0.031926756265039095
39,Quarry Dataset,364.2828282828283,SURF+SIFT,4.545454545454546,0.012477817213842059,0.9875221827861579,0.012477817213842087
40,Quarry Dataset,329.3131313131313,SURF+SIFT,2.090909090909091,0.006349303723697933,0.9936506962763021,0.006349303723697921
41,Quarry Dataset,381.1212121212121,SURF+SIFT,1.9494949494949494,0.005115157297712756,0.9948848427022872,0.005115157297712796
42,Quarry Dataset,376.95959595959596,SURF+SIFT,10.222222222222221,0.027117554060934107,0.9728824459390659,0.027117554060934093
43,Quarry Dataset,367.82828282828285,SURF+SIFT,15.919191919191919,0.043278868598105175,0.9567211314018949,0.04327886859810516
44,Quarry Dataset,366.050505050505,SURF+SIFT,10.393939393939394,0.028394823256712384,0.9716051767432876,0.028394823256712384
45,Quarry Dataset,346.3333333333333,SURF+SIFT,11.717171717171718,0.03383206463090968,0.9661679353690904,0.03383206463090964
46,Quarry Dataset,357.06060606060606,SURF+SIFT,20.87878787878788,0.058474072816769924,0.9415259271832301,0.0584740728167699
47,Quarry Dataset,366.5151515151515,SURF+SIFT,23.616161616161616,0.06443433925864682,0.9355656607413532,0.06443433925864682
48,Quarry Dataset,350.6363636363636,SURF+SIFT,10.969696969696969,0.031285109325036725,0.9687148906749632,0.03128510932503677
49,Quarry Dataset,398.7676767676768,SURF+SIFT,11.83838383838384,0.029687420841987944,0.9703125791580121,0.029687420841987944
50,Quarry Dataset,300.8989898989899,SURF+SIFT,16.22222222222222,0.05391251804357313,0.9460874819564269,0.053912518043573124
51,Quarry Dataset,279.3838383838384,SURF+SIFT,35.898989898989896,0.12849343794063414,0.8715065620593658,0.12849343794063414
52,Quarry Dataset,279.8989898989899,SURF+SIFT,44.58585858585859,0.15929267412486467,0.8407073258751353,0.15929267412486467
