,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial Estate,1463.3838383838383,SURFSIFT,12.777777777777779,0.008731665228645385,0.9912683347713546,0.00873166522864541
1,Industrial Estate,1452.5656565656566,SURFSIFT,10.575757575757576,0.0072807432338460685,0.992719256766154,0.0072807432338460225
2,Industrial Estate,1404.5656565656566,SURFSIFT,0.7373737373737373,0.000524983459425251,0.9994750165405748,0.000524983459425225
3,Industrial Estate,1402.7474747474748,SURFSIFT,12.303030303030303,0.008770666513047986,0.9912293334869521,0.008770666513047953
4,Industrial Estate,1500.3232323232323,SURFSIFT,17.818181818181817,0.011876228691460424,0.9881237713085396,0.011876228691460428
5,Industrial Estate,1457.3636363636363,SURFSIFT,41.14141414141414,0.028230026545789755,0.9717699734542102,0.028230026545789762
6,Industrial Estate,1417.6565656565656,SURFSIFT,70.62626262626263,0.04981902128993645,0.9501809787100636,0.049819021289936434
7,Industrial Estate,1450.5656565656566,SURFSIFT,100.8080808080808,0.06949570352213695,0.930504296477863,0.06949570352213695
8,Industrial Estate,1482.060606060606,SURFSIFT,53.63636363636363,0.036190398298846814,0.9638096017011532,0.03619039829884683
9,Industrial Estate,1505.5454545454545,SURFSIFT,99.15151515151516,0.06585753678320552,0.9341424632167944,0.06585753678320556
10,Industrial Estate,1441.020202020202,SURFSIFT,124.25252525252525,0.08622538745697843,0.9137746125430216,0.0862253874569784
11,Industrial Estate,1463.979797979798,SURFSIFT,110.33333333333333,0.07536533870589372,0.9246346612941063,0.0753653387058937
12,Industrial Estate,1443.5050505050506,SURFSIFT,39.02020202020202,0.027031565983471766,0.9729684340165282,0.027031565983471773
13,Industrial Estate,1476.6565656565656,SURFSIFT,7.888888888888889,0.00534239922292375,0.9946576007770762,0.005342399222923769
14,Industrial Estate,1625.4444444444443,SURFSIFT,1.2424242424242424,0.00076435970892188,0.9992356402910781,0.0007643597089218691
15,Industrial Estate,1476.6363636363637,SURFSIFT,1.5252525252525253,0.0010329235841764314,0.9989670764158236,0.0010329235841764121
