,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial,6.565656565656566,ROOTSIFT,0.1111111111111111,0.016923076923076923,0.9830769230769232,0.01692307692307687
1,Industrial,6.565656565656566,ROOTSIFT,0.1111111111111111,0.016923076923076923,0.9830769230769232,0.01692307692307687
2,Industrial,6.565656565656566,ROOTSIFT,0.09090909090909091,0.013846153846153847,0.9861538461538462,0.013846153846153843
3,Industrial,6.565656565656566,ROOTSIFT,0.06060606060606061,0.009230769230769232,0.9907692307692307,0.009230769230769249
4,Industrial,6.565656565656566,ROOTSIFT,0.04040404040404041,0.006153846153846155,0.9938461538461538,0.006153846153846165
5,Industrial,6.565656565656566,ROOTSIFT,0.1414141414141414,0.021538461538461538,0.9784615384615385,0.021538461538461524
6,Industrial,6.565656565656566,ROOTSIFT,0.1414141414141414,0.021538461538461538,0.9784615384615385,0.021538461538461524
7,Industrial,6.565656565656566,ROOTSIFT,0.06060606060606061,0.009230769230769232,0.9907692307692307,0.009230769230769249
8,Industrial,6.595959595959596,ROOTSIFT,0.06060606060606061,0.009188361408882083,0.9908116385911179,0.009188361408882106
9,Industrial,6.565656565656566,ROOTSIFT,0.8888888888888888,0.13538461538461538,0.8646153846153846,0.1353846153846154
10,Industrial,6.565656565656566,ROOTSIFT,0.06060606060606061,0.009230769230769232,0.9907692307692307,0.009230769230769249
11,Industrial,6.565656565656566,ROOTSIFT,0.050505050505050504,0.007692307692307692,0.9923076923076923,0.007692307692307678
12,Industrial,6.565656565656566,ROOTSIFT,0.09090909090909091,0.013846153846153847,0.9861538461538462,0.013846153846153843
13,Industrial,6.565656565656566,ROOTSIFT,0.0707070707070707,0.010769230769230769,0.9892307692307692,0.010769230769230762
14,Industrial,6.565656565656566,ROOTSIFT,0.1111111111111111,0.016923076923076923,0.9830769230769232,0.01692307692307687
15,Industrial,6.565656565656566,ROOTSIFT,0.13131313131313133,0.02,0.98,0.020000000000000007
16,Industrial,6.565656565656566,ROOTSIFT,0.08080808080808081,0.01230769230769231,0.9876923076923078,0.012307692307692275
17,Industrial,6.565656565656566,ROOTSIFT,0.10101010101010101,0.015384615384615384,0.9846153846153846,0.015384615384615411
18,Industrial,6.585858585858586,ROOTSIFT,0.29292929292929293,0.04447852760736196,0.955521472392638,0.044478527607362005
19,Industrial,6.585858585858586,ROOTSIFT,0.4444444444444444,0.06748466257668712,0.9325153374233128,0.06748466257668714
20,Industrial,6.565656565656566,ROOTSIFT,0.2222222222222222,0.033846153846153845,0.9661538461538461,0.03384615384615385
21,Industrial,6.565656565656566,ROOTSIFT,0.09090909090909091,0.013846153846153847,0.9861538461538462,0.013846153846153843
22,Industrial,6.565656565656566,ROOTSIFT,0.5151515151515151,0.07846153846153846,0.9215384615384615,0.07846153846153846
23,Industrial,6.565656565656566,ROOTSIFT,0.30303030303030304,0.046153846153846156,0.9538461538461539,0.04615384615384613
24,Industrial,6.565656565656566,ROOTSIFT,0.09090909090909091,0.013846153846153847,0.9861538461538462,0.013846153846153843
25,Industrial,6.565656565656566,ROOTSIFT,0.12121212121212122,0.018461538461538463,0.9815384615384616,0.018461538461538442
26,Industrial,6.565656565656566,ROOTSIFT,0.26262626262626265,0.04,0.96,0.040000000000000015
27,Industrial,6.565656565656566,ROOTSIFT,0.10101010101010101,0.015384615384615384,0.9846153846153846,0.015384615384615411
28,Industrial,6.575757575757576,ROOTSIFT,0.12121212121212122,0.018433179723502304,0.9815668202764977,0.018433179723502318
29,Industrial,6.565656565656566,ROOTSIFT,0.08080808080808081,0.01230769230769231,0.9876923076923078,0.012307692307692275
30,Industrial,6.565656565656566,ROOTSIFT,0.10101010101010101,0.015384615384615384,0.9846153846153846,0.015384615384615411
31,Industrial,6.565656565656566,ROOTSIFT,0.09090909090909091,0.013846153846153847,0.9861538461538462,0.013846153846153843
32,Industrial,6.565656565656566,ROOTSIFT,0.13131313131313133,0.02,0.98,0.020000000000000007
33,Industrial,6.575757575757576,ROOTSIFT,0.06060606060606061,0.009216589861751152,0.9907834101382489,0.009216589861751131
34,Industrial,6.565656565656566,ROOTSIFT,0.04040404040404041,0.006153846153846155,0.9938461538461538,0.006153846153846165
35,Industrial,6.565656565656566,ROOTSIFT,0.6464646464646465,0.09846153846153848,0.9015384615384616,0.09846153846153843
36,Industrial,6.575757575757576,ROOTSIFT,0.06060606060606061,0.009216589861751152,0.9907834101382489,0.009216589861751131
37,Industrial,6.565656565656566,ROOTSIFT,0.1717171717171717,0.026153846153846153,0.9738461538461539,0.026153846153846114
38,Industrial,6.565656565656566,ROOTSIFT,0.41414141414141414,0.06307692307692307,0.9369230769230769,0.0630769230769231
39,Industrial,6.575757575757576,ROOTSIFT,0.04040404040404041,0.006144393241167435,0.9938556067588326,0.00614439324116744
40,Industrial,6.565656565656566,ROOTSIFT,0.08080808080808081,0.01230769230769231,0.9876923076923078,0.012307692307692275
41,Industrial,6.565656565656566,ROOTSIFT,0.47474747474747475,0.07230769230769231,0.9276923076923077,0.07230769230769231
42,Industrial,6.565656565656566,ROOTSIFT,0.050505050505050504,0.007692307692307692,0.9923076923076923,0.007692307692307678
43,Industrial,6.575757575757576,ROOTSIFT,0.5757575757575758,0.08755760368663594,0.912442396313364,0.08755760368663597
44,Industrial,6.575757575757576,ROOTSIFT,0.10101010101010101,0.015360983102918585,0.9846390168970813,0.015360983102918627
45,Industrial,6.565656565656566,ROOTSIFT,0.20202020202020202,0.030769230769230767,0.9692307692307691,0.030769230769230823
46,Industrial,6.565656565656566,ROOTSIFT,0.25252525252525254,0.038461538461538464,0.9615384615384616,0.03846153846153845
47,Industrial,6.585858585858586,ROOTSIFT,0.1919191919191919,0.029141104294478526,0.9708588957055214,0.029141104294478554
48,Industrial,6.565656565656566,ROOTSIFT,0.6868686868686869,0.10461538461538461,0.8953846153846153,0.10461538461538465
49,Industrial,6.565656565656566,ROOTSIFT,0.1111111111111111,0.016923076923076923,0.9830769230769232,0.01692307692307687
50,Industrial,6.565656565656566,ROOTSIFT,0.10101010101010101,0.015384615384615384,0.9846153846153846,0.015384615384615411
51,Industrial,6.565656565656566,ROOTSIFT,0.25252525252525254,0.038461538461538464,0.9615384615384616,0.03846153846153845
52,Industrial,6.565656565656566,ROOTSIFT,0.13131313131313133,0.02,0.98,0.020000000000000007
53,Industrial,6.565656565656566,ROOTSIFT,0.12121212121212122,0.018461538461538463,0.9815384615384616,0.018461538461538442
54,Industrial,6.565656565656566,ROOTSIFT,0.5252525252525253,0.08,0.92,0.07999999999999997
55,Industrial,6.565656565656566,ROOTSIFT,0.21212121212121213,0.03230769230769231,0.9676923076923077,0.03230769230769228
56,Industrial,6.585858585858586,ROOTSIFT,0.1111111111111111,0.01687116564417178,0.9831288343558283,0.01687116564417173
57,Industrial,6.575757575757576,ROOTSIFT,0.18181818181818182,0.027649769585253454,0.9723502304147466,0.02764976958525345
58,Industrial,6.565656565656566,ROOTSIFT,0.18181818181818182,0.027692307692307693,0.9723076923076923,0.027692307692307686
59,Industrial,6.565656565656566,ROOTSIFT,0.7272727272727273,0.11076923076923077,0.8892307692307692,0.1107692307692308
60,Industrial,6.575757575757576,ROOTSIFT,0.06060606060606061,0.009216589861751152,0.9907834101382489,0.009216589861751131
61,Industrial,6.565656565656566,ROOTSIFT,0.40404040404040403,0.061538461538461535,0.9384615384615385,0.061538461538461535
62,Industrial,6.565656565656566,ROOTSIFT,0.2828282828282828,0.043076923076923075,0.9569230769230769,0.0430769230769231
63,Industrial,6.565656565656566,ROOTSIFT,0.13131313131313133,0.02,0.98,0.020000000000000007
64,Industrial,6.575757575757576,ROOTSIFT,0.10101010101010101,0.015360983102918585,0.9846390168970813,0.015360983102918627
65,Industrial,6.565656565656566,ROOTSIFT,0.13131313131313133,0.02,0.98,0.020000000000000007
66,Industrial,6.565656565656566,ROOTSIFT,0.09090909090909091,0.013846153846153847,0.9861538461538462,0.013846153846153843
67,Industrial,6.565656565656566,ROOTSIFT,0.050505050505050504,0.007692307692307692,0.9923076923076923,0.007692307692307678
68,Industrial,6.565656565656566,ROOTSIFT,0.0707070707070707,0.010769230769230769,0.9892307692307692,0.010769230769230762
69,Industrial,6.565656565656566,ROOTSIFT,0.0707070707070707,0.010769230769230769,0.9892307692307692,0.010769230769230762
70,Industrial,6.565656565656566,ROOTSIFT,0.04040404040404041,0.006153846153846155,0.9938461538461538,0.006153846153846165
71,Industrial,6.565656565656566,ROOTSIFT,0.050505050505050504,0.007692307692307692,0.9923076923076923,0.007692307692307678
72,Industrial,6.565656565656566,ROOTSIFT,0.15151515151515152,0.023076923076923078,0.9769230769230769,0.023076923076923092
73,Industrial,6.565656565656566,ROOTSIFT,0.050505050505050504,0.007692307692307692,0.9923076923076923,0.007692307692307678
74,Industrial,6.565656565656566,ROOTSIFT,0.06060606060606061,0.009230769230769232,0.9907692307692307,0.009230769230769249
75,Industrial,6.565656565656566,ROOTSIFT,0.15151515151515152,0.023076923076923078,0.9769230769230769,0.023076923076923092
76,Industrial,6.565656565656566,ROOTSIFT,0.0707070707070707,0.010769230769230769,0.9892307692307692,0.010769230769230762
77,Industrial,6.565656565656566,ROOTSIFT,0.10101010101010101,0.015384615384615384,0.9846153846153846,0.015384615384615411
78,Industrial,6.565656565656566,ROOTSIFT,0.13131313131313133,0.02,0.98,0.020000000000000007
79,Industrial,6.565656565656566,ROOTSIFT,0.25252525252525254,0.038461538461538464,0.9615384615384616,0.03846153846153845
80,Industrial,6.565656565656566,ROOTSIFT,0.16161616161616163,0.02461538461538462,0.9753846153846154,0.02461538461538461
81,Industrial,6.565656565656566,ROOTSIFT,0.15151515151515152,0.023076923076923078,0.9769230769230769,0.023076923076923092
82,Industrial,6.565656565656566,ROOTSIFT,0.29292929292929293,0.04461538461538461,0.9553846153846154,0.04461538461538461
83,Industrial,6.565656565656566,ROOTSIFT,0.29292929292929293,0.04461538461538461,0.9553846153846154,0.04461538461538461
84,Industrial,6.565656565656566,ROOTSIFT,0.13131313131313133,0.02,0.98,0.020000000000000007
85,Industrial,6.565656565656566,ROOTSIFT,0.1414141414141414,0.021538461538461538,0.9784615384615385,0.021538461538461524
86,Industrial,6.565656565656566,ROOTSIFT,0.12121212121212122,0.018461538461538463,0.9815384615384616,0.018461538461538442
87,Industrial,6.565656565656566,ROOTSIFT,0.3838383838383838,0.058461538461538454,0.9415384615384615,0.058461538461538454
88,Industrial,6.565656565656566,ROOTSIFT,1.0707070707070707,0.16307692307692306,0.8369230769230769,0.1630769230769231
89,Industrial,6.565656565656566,ROOTSIFT,0.30303030303030304,0.046153846153846156,0.9538461538461539,0.04615384615384613
90,Industrial,6.575757575757576,ROOTSIFT,0.0707070707070707,0.01075268817204301,0.989247311827957,0.010752688172043006
91,Industrial,6.565656565656566,ROOTSIFT,0.0707070707070707,0.010769230769230769,0.9892307692307692,0.010769230769230762
92,Industrial,6.565656565656566,ROOTSIFT,0.050505050505050504,0.007692307692307692,0.9923076923076923,0.007692307692307678
93,Industrial,6.565656565656566,ROOTSIFT,0.0707070707070707,0.010769230769230769,0.9892307692307692,0.010769230769230762
94,Industrial,6.585858585858586,ROOTSIFT,0.0707070707070707,0.010736196319018405,0.9892638036809815,0.01073619631901843
95,Industrial,6.565656565656566,ROOTSIFT,0.08080808080808081,0.01230769230769231,0.9876923076923078,0.012307692307692275
96,Industrial,6.575757575757576,ROOTSIFT,0.24242424242424243,0.03686635944700461,0.9631336405529954,0.03686635944700458
97,Industrial,6.565656565656566,ROOTSIFT,0.1717171717171717,0.026153846153846153,0.9738461538461539,0.026153846153846114
98,Industrial,6.565656565656566,ROOTSIFT,0.13131313131313133,0.02,0.98,0.020000000000000007
