,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Quarry,8.227848101265822,ROOTSIFT,0.8354430379746836,0.10153846153846155,0.8984615384615384,0.10153846153846156
1,Quarry,8.227848101265822,ROOTSIFT,0.3037974683544304,0.036923076923076927,0.963076923076923,0.03692307692307694
2,Quarry,8.227848101265822,ROOTSIFT,0.13924050632911392,0.016923076923076923,0.983076923076923,0.01692307692307698
3,Quarry,8.253164556962025,ROOTSIFT,0.0759493670886076,0.009202453987730062,0.9907975460122699,0.00920245398773009
4,Quarry,8.227848101265822,ROOTSIFT,0.0759493670886076,0.009230769230769232,0.9907692307692307,0.009230769230769249
5,Quarry,8.227848101265822,ROOTSIFT,0.0759493670886076,0.009230769230769232,0.9907692307692307,0.009230769230769249
6,Quarry,8.227848101265822,ROOTSIFT,0.1518987341772152,0.018461538461538463,0.9815384615384615,0.018461538461538498
7,Quarry,8.227848101265822,ROOTSIFT,0.17721518987341772,0.02153846153846154,0.9784615384615386,0.021538461538461468
8,Quarry,8.227848101265822,ROOTSIFT,0.08860759493670886,0.01076923076923077,0.9892307692307691,0.010769230769230817
9,Quarry,8.227848101265822,ROOTSIFT,0.24050632911392406,0.029230769230769234,0.9707692307692307,0.029230769230769258
10,Quarry,8.227848101265822,ROOTSIFT,0.43037974683544306,0.05230769230769231,0.9476923076923077,0.0523076923076923
11,Quarry,8.227848101265822,ROOTSIFT,0.3037974683544304,0.036923076923076927,0.963076923076923,0.03692307692307694
12,Quarry,8.240506329113924,ROOTSIFT,0.24050632911392406,0.029185867895545316,0.9708141321044547,0.029185867895545326
13,Quarry,8.227848101265822,ROOTSIFT,0.31645569620253167,0.038461538461538464,0.9615384615384616,0.03846153846153845
14,Quarry,8.227848101265822,ROOTSIFT,0.189873417721519,0.02307692307692308,0.976923076923077,0.02307692307692304
15,Quarry,8.227848101265822,ROOTSIFT,0.10126582278481013,0.012307692307692308,0.9876923076923076,0.01230769230769233
16,Quarry,8.227848101265822,ROOTSIFT,0.06329113924050633,0.007692307692307694,0.9923076923076922,0.007692307692307735
17,Quarry,8.227848101265822,ROOTSIFT,0.0759493670886076,0.009230769230769232,0.9907692307692307,0.009230769230769249
18,Quarry,8.227848101265822,ROOTSIFT,0.08860759493670886,0.01076923076923077,0.9892307692307691,0.010769230769230817
19,Quarry,8.227848101265822,ROOTSIFT,0.0759493670886076,0.009230769230769232,0.9907692307692307,0.009230769230769249
20,Quarry,8.227848101265822,ROOTSIFT,0.13924050632911392,0.016923076923076923,0.983076923076923,0.01692307692307698
21,Quarry,8.240506329113924,ROOTSIFT,0.13924050632911392,0.016897081413210446,0.9831029185867894,0.016897081413210502
22,Quarry,8.227848101265822,ROOTSIFT,0.16455696202531644,0.02,0.9799999999999999,0.020000000000000063
23,Quarry,8.227848101265822,ROOTSIFT,0.11392405063291139,0.013846153846153847,0.986153846153846,0.013846153846153899
24,Quarry,8.227848101265822,ROOTSIFT,0.1518987341772152,0.018461538461538463,0.9815384615384615,0.018461538461538498
25,Quarry,8.227848101265822,ROOTSIFT,0.20253164556962025,0.024615384615384615,0.9753846153846155,0.024615384615384553
26,Quarry,8.227848101265822,ROOTSIFT,0.31645569620253167,0.038461538461538464,0.9615384615384616,0.03846153846153845
27,Quarry,8.227848101265822,ROOTSIFT,0.12658227848101267,0.015384615384615387,0.9846153846153846,0.015384615384615415
28,Quarry,8.227848101265822,ROOTSIFT,0.11392405063291139,0.013846153846153847,0.986153846153846,0.013846153846153899
29,Quarry,8.227848101265822,ROOTSIFT,0.13924050632911392,0.016923076923076923,0.983076923076923,0.01692307692307698
30,Quarry,8.227848101265822,ROOTSIFT,0.06329113924050633,0.007692307692307694,0.9923076923076922,0.007692307692307735
