,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial,7.575757575757576,ROOTSIFT,0.15151515151515152,0.02,0.98,0.020000000000000007
1,Industrial,7.575757575757576,ROOTSIFT,0.050505050505050504,0.006666666666666666,0.9933333333333334,0.006666666666666632
2,Industrial,7.575757575757576,ROOTSIFT,0.10101010101010101,0.013333333333333332,0.9866666666666667,0.01333333333333332
3,Industrial,7.575757575757576,ROOTSIFT,0.050505050505050504,0.006666666666666666,0.9933333333333334,0.006666666666666632
4,Industrial,7.575757575757576,ROOTSIFT,0.050505050505050504,0.006666666666666666,0.9933333333333334,0.006666666666666632
5,Industrial,7.575757575757576,ROOTSIFT,0.10101010101010101,0.013333333333333332,0.9866666666666667,0.01333333333333332
6,Industrial,7.575757575757576,ROOTSIFT,0.16161616161616163,0.021333333333333333,0.9786666666666667,0.021333333333333326
7,Industrial,7.575757575757576,ROOTSIFT,0.08080808080808081,0.010666666666666666,0.9893333333333334,0.010666666666666635
8,Industrial,7.575757575757576,ROOTSIFT,0.09090909090909091,0.012,0.988,0.012000000000000005
9,Industrial,7.575757575757576,ROOTSIFT,0.7676767676767676,0.10133333333333332,0.8986666666666667,0.1013333333333333
10,Industrial,7.585858585858586,ROOTSIFT,0.04040404040404041,0.005326231691078562,0.9946737683089214,0.00532623169107858
11,Industrial,7.575757575757576,ROOTSIFT,0.04040404040404041,0.005333333333333333,0.9946666666666666,0.005333333333333373
12,Industrial,7.606060606060606,ROOTSIFT,0.06060606060606061,0.00796812749003984,0.9920318725099602,0.007968127490039837
13,Industrial,7.575757575757576,ROOTSIFT,0.08080808080808081,0.010666666666666666,0.9893333333333334,0.010666666666666635
14,Industrial,7.575757575757576,ROOTSIFT,0.20202020202020202,0.026666666666666665,0.9733333333333333,0.026666666666666696
15,Industrial,7.575757575757576,ROOTSIFT,0.12121212121212122,0.016,0.984,0.016000000000000007
16,Industrial,7.575757575757576,ROOTSIFT,0.10101010101010101,0.013333333333333332,0.9866666666666667,0.01333333333333332
17,Industrial,7.585858585858586,ROOTSIFT,0.09090909090909091,0.011984021304926765,0.9880159786950733,0.011984021304926736
18,Industrial,7.575757575757576,ROOTSIFT,0.30303030303030304,0.04,0.9600000000000001,0.03999999999999996
19,Industrial,7.575757575757576,ROOTSIFT,0.32323232323232326,0.042666666666666665,0.9573333333333333,0.04266666666666671
20,Industrial,7.585858585858586,ROOTSIFT,0.1111111111111111,0.014647137150466045,0.985352862849534,0.014647137150465997
21,Industrial,7.575757575757576,ROOTSIFT,0.3333333333333333,0.044,0.9560000000000001,0.04399999999999996
22,Industrial,7.575757575757576,ROOTSIFT,0.5656565656565656,0.07466666666666666,0.9253333333333333,0.07466666666666666
23,Industrial,7.575757575757576,ROOTSIFT,0.31313131313131315,0.04133333333333333,0.9586666666666667,0.04133333333333333
24,Industrial,7.575757575757576,ROOTSIFT,0.5555555555555556,0.07333333333333333,0.9266666666666667,0.07333333333333329
25,Industrial,7.575757575757576,ROOTSIFT,0.13131313131313133,0.017333333333333333,0.9826666666666667,0.017333333333333322
26,Industrial,7.575757575757576,ROOTSIFT,0.20202020202020202,0.026666666666666665,0.9733333333333333,0.026666666666666696
27,Industrial,7.575757575757576,ROOTSIFT,0.13131313131313133,0.017333333333333333,0.9826666666666667,0.017333333333333322
28,Industrial,7.575757575757576,ROOTSIFT,0.31313131313131315,0.04133333333333333,0.9586666666666667,0.04133333333333333
29,Industrial,7.575757575757576,ROOTSIFT,0.1111111111111111,0.014666666666666665,0.9853333333333334,0.014666666666666635
30,Industrial,7.575757575757576,ROOTSIFT,0.12121212121212122,0.016,0.984,0.016000000000000007
31,Industrial,7.575757575757576,ROOTSIFT,0.18181818181818182,0.024,0.976,0.02400000000000001
32,Industrial,7.575757575757576,ROOTSIFT,0.10101010101010101,0.013333333333333332,0.9866666666666667,0.01333333333333332
33,Industrial,7.575757575757576,ROOTSIFT,0.050505050505050504,0.006666666666666666,0.9933333333333334,0.006666666666666632
34,Industrial,7.575757575757576,ROOTSIFT,0.050505050505050504,0.006666666666666666,0.9933333333333334,0.006666666666666632
35,Industrial,7.575757575757576,ROOTSIFT,0.42424242424242425,0.056,0.9440000000000001,0.055999999999999966
36,Industrial,7.575757575757576,ROOTSIFT,0.09090909090909091,0.012,0.988,0.012000000000000005
37,Industrial,7.575757575757576,ROOTSIFT,0.1717171717171717,0.022666666666666665,0.9773333333333334,0.022666666666666637
38,Industrial,7.575757575757576,ROOTSIFT,0.37373737373737376,0.04933333333333333,0.9506666666666667,0.04933333333333333
39,Industrial,7.585858585858586,ROOTSIFT,0.06060606060606061,0.007989347536617843,0.9920106524633822,0.007989347536617843
40,Industrial,7.575757575757576,ROOTSIFT,0.13131313131313133,0.017333333333333333,0.9826666666666667,0.017333333333333322
41,Industrial,7.575757575757576,ROOTSIFT,0.7373737373737373,0.09733333333333333,0.9026666666666667,0.09733333333333331
42,Industrial,7.575757575757576,ROOTSIFT,0.09090909090909091,0.012,0.988,0.012000000000000005
43,Industrial,7.575757575757576,ROOTSIFT,0.42424242424242425,0.056,0.9440000000000001,0.055999999999999966
44,Industrial,7.575757575757576,ROOTSIFT,0.09090909090909091,0.012,0.988,0.012000000000000005
45,Industrial,7.575757575757576,ROOTSIFT,0.12121212121212122,0.016,0.984,0.016000000000000007
46,Industrial,7.575757575757576,ROOTSIFT,0.37373737373737376,0.04933333333333333,0.9506666666666667,0.04933333333333333
47,Industrial,7.575757575757576,ROOTSIFT,0.5353535353535354,0.07066666666666667,0.9293333333333333,0.07066666666666667
48,Industrial,7.575757575757576,ROOTSIFT,0.5656565656565656,0.07466666666666666,0.9253333333333333,0.07466666666666666
49,Industrial,7.575757575757576,ROOTSIFT,0.08080808080808081,0.010666666666666666,0.9893333333333334,0.010666666666666635
50,Industrial,7.575757575757576,ROOTSIFT,0.1414141414141414,0.018666666666666665,0.9813333333333334,0.018666666666666637
