,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial Dataset,9.098214285714286,SUPERPOINT,0.7767857142857143,0.08537782139352305,0.914622178606477,0.08537782139352303
1,Industrial Dataset,9.044642857142858,SUPERPOINT,0.044642857142857144,0.004935834155972359,0.9950641658440276,0.004935834155972394
2,Industrial Dataset,12.714285714285714,SUPERPOINT,0.7589285714285714,0.059691011235955056,0.940308988764045,0.05969101123595503
3,Industrial Dataset,13.946428571428571,SUPERPOINT,0.9642857142857143,0.06914212548015365,0.9308578745198464,0.06914212548015365
4,Industrial Dataset,12.866071428571429,SUPERPOINT,0.14285714285714285,0.011103400416377515,0.9888965995836225,0.011103400416377494
5,Industrial Dataset,15.491071428571429,SUPERPOINT,0.4017857142857143,0.025936599423631124,0.974063400576369,0.025936599423631076
6,Industrial Dataset,16.464285714285715,SUPERPOINT,0.26785714285714285,0.016268980477223426,0.9837310195227766,0.01626898047722339
7,Industrial Dataset,15.107142857142858,SUPERPOINT,0.14285714285714285,0.009456264775413711,0.9905437352245863,0.009456264775413718
8,Industrial Dataset,14.053571428571429,SUPERPOINT,1.25,0.08894536213468869,0.9110546378653113,0.08894536213468872
9,Industrial Dataset,13.008928571428571,SUPERPOINT,0.7589285714285714,0.05833905284831846,0.9416609471516816,0.05833905284831844
10,Industrial Dataset,11.571428571428571,SUPERPOINT,0.625,0.05401234567901235,0.9459876543209876,0.05401234567901236
11,Industrial Dataset,11.285714285714286,SUPERPOINT,0.5892857142857143,0.05221518987341772,0.9477848101265823,0.05221518987341769
12,Industrial Dataset,11.071428571428571,SUPERPOINT,0.35714285714285715,0.03225806451612903,0.9677419354838709,0.03225806451612907
13,Industrial Dataset,11.169642857142858,SUPERPOINT,0.36607142857142855,0.032773780975219824,0.9672262190247801,0.03277378097521985
14,Industrial Dataset,12.651785714285714,SUPERPOINT,0.25,0.019760056457304165,0.9802399435426958,0.019760056457304165
15,Industrial Dataset,14.017857142857142,SUPERPOINT,0.45535714285714285,0.03248407643312102,0.967515923566879,0.03248407643312102
16,Industrial Dataset,12.133928571428571,SUPERPOINT,0.4375,0.036055923473142015,0.963944076526858,0.036055923473142015
17,Industrial Dataset,14.616071428571429,SUPERPOINT,0.07142857142857142,0.004886988393402565,0.9951130116065975,0.004886988393402539
18,Industrial Dataset,13.214285714285714,SUPERPOINT,0.25,0.01891891891891892,0.981081081081081,0.018918918918918934
19,Industrial Dataset,9.035714285714286,SUPERPOINT,0.6607142857142857,0.07312252964426877,0.9268774703557311,0.07312252964426884
20,Industrial Dataset,7.383928571428571,SUPERPOINT,0.044642857142857144,0.006045949214026602,0.9939540507859734,0.006045949214026586
21,Industrial Dataset,8.303571428571429,SUPERPOINT,0.044642857142857144,0.005376344086021505,0.9946236559139784,0.005376344086021559
22,Industrial Dataset,9.160714285714286,SUPERPOINT,0.14285714285714285,0.015594541910331381,0.9844054580896687,0.015594541910331326
23,Industrial Dataset,9.866071428571429,SUPERPOINT,0.25892857142857145,0.026244343891402715,0.9737556561085973,0.026244343891402722
24,Industrial Dataset,13.098214285714286,SUPERPOINT,0.10714285714285714,0.008179959100204498,0.9918200408997955,0.008179959100204512
25,Industrial Dataset,13.901785714285714,SUPERPOINT,0.9107142857142857,0.06551059730250482,0.9344894026974951,0.06551059730250484
26,Industrial Dataset,15.973214285714286,SUPERPOINT,0.45535714285714285,0.028507546115148125,0.971492453884852,0.02850754611514809
27,Industrial Dataset,16.678571428571427,SUPERPOINT,0.2857142857142857,0.017130620985010708,0.9828693790149894,0.01713062098501066
28,Industrial Dataset,11.116071428571429,SUPERPOINT,0.4375,0.0393574297188755,0.9606425702811245,0.03935742971887548
29,Industrial Dataset,11.098214285714286,SUPERPOINT,0.33035714285714285,0.02976669348350764,0.9702333065164924,0.02976669348350761
30,Industrial Dataset,12.589285714285714,SUPERPOINT,0.07142857142857142,0.005673758865248227,0.9943262411347518,0.005673758865248231
31,Industrial Dataset,13.017857142857142,SUPERPOINT,0.44642857142857145,0.03429355281207133,0.9657064471879286,0.034293552812071346
32,Industrial Dataset,12.919642857142858,SUPERPOINT,0.044642857142857144,0.003455425017277125,0.9965445749827229,0.0034554250172771305
33,Industrial Dataset,13.5625,SUPERPOINT,0.6875,0.05069124423963134,0.9493087557603687,0.05069124423963134
34,Industrial Dataset,11.6875,SUPERPOINT,0.2857142857142857,0.024446142093200916,0.975553857906799,0.024446142093200934
35,Industrial Dataset,11.107142857142858,SUPERPOINT,0.125,0.011254019292604502,0.9887459807073955,0.011254019292604504
36,Industrial Dataset,14.723214285714286,SUPERPOINT,0.9017857142857143,0.061249241964827165,0.9387507580351729,0.06124924196482711
37,Industrial Dataset,16.696428571428573,SUPERPOINT,0.8392857142857143,0.05026737967914438,0.9497326203208557,0.05026737967914434
38,Industrial Dataset,13.803571428571429,SUPERPOINT,0.16071428571428573,0.01164294954721863,0.9883570504527813,0.01164294954721865
39,Industrial Dataset,12.625,SUPERPOINT,0.26785714285714285,0.021216407355021217,0.9787835926449788,0.021216407355021196
40,Industrial Dataset,12.5625,SUPERPOINT,0.07142857142857142,0.005685856432125089,0.994314143567875,0.005685856432125068
41,Industrial Dataset,10.696428571428571,SUPERPOINT,1.0982142857142858,0.10267111853088481,0.8973288814691152,0.10267111853088484
42,Industrial Dataset,6.696428571428571,SUPERPOINT,0.3482142857142857,0.052,0.9480000000000001,0.05199999999999997
43,Industrial Dataset,5.669642857142857,SUPERPOINT,0.10714285714285714,0.01889763779527559,0.9811023622047245,0.018897637795275563
44,Industrial Dataset,5.401785714285714,SUPERPOINT,0.11607142857142858,0.021487603305785124,0.9785123966942149,0.02148760330578513
45,Industrial Dataset,12.321428571428571,SUPERPOINT,0.375,0.030434782608695653,0.9695652173913043,0.030434782608695674
46,Industrial Dataset,15.589285714285714,SUPERPOINT,0.4017857142857143,0.025773195876288662,0.9742268041237114,0.025773195876288613
47,Industrial Dataset,12.910714285714286,SUPERPOINT,0.044642857142857144,0.003457814661134163,0.9965421853388658,0.003457814661134157
48,Industrial Dataset,11.875,SUPERPOINT,0.5357142857142857,0.045112781954887216,0.9548872180451127,0.04511278195488727
49,Industrial Dataset,7.339285714285714,SUPERPOINT,0.41964285714285715,0.057177615571776155,0.9428223844282239,0.05717761557177615
50,Industrial Dataset,7.3125,SUPERPOINT,0.24107142857142858,0.03296703296703297,0.967032967032967,0.03296703296703297
51,Industrial Dataset,7.267857142857143,SUPERPOINT,0.44642857142857145,0.06142506142506143,0.9385749385749386,0.06142506142506143
52,Industrial Dataset,13.348214285714286,SUPERPOINT,0.4017857142857143,0.030100334448160536,0.9698996655518395,0.030100334448160525
53,Industrial Dataset,12.517857142857142,SUPERPOINT,0.9642857142857143,0.07703281027104138,0.9229671897289586,0.07703281027104138
54,Industrial Dataset,10.017857142857142,SUPERPOINT,0.4017857142857143,0.040106951871657755,0.9598930481283423,0.04010695187165773
55,Industrial Dataset,11.223214285714286,SUPERPOINT,0.09821428571428571,0.008750994431185362,0.9912490055688146,0.008750994431185396
56,Industrial Dataset,12.625,SUPERPOINT,0.25892857142857145,0.02050919377652051,0.9794908062234795,0.020509193776520503
57,Industrial Dataset,11.330357142857142,SUPERPOINT,0.9910714285714286,0.08747044917257683,0.9125295508274232,0.08747044917257683
58,Industrial Dataset,10.8125,SUPERPOINT,0.25,0.023121387283236993,0.976878612716763,0.02312138728323699
59,Industrial Dataset,11.107142857142858,SUPERPOINT,0.5089285714285714,0.04581993569131832,0.9541800643086817,0.04581993569131829
60,Industrial Dataset,9.098214285714286,SUPERPOINT,0.7589285714285714,0.08341511285574091,0.9165848871442591,0.0834151128557409
61,Industrial Dataset,9.044642857142858,SUPERPOINT,0.05357142857142857,0.00592300098716683,0.9940769990128332,0.005923000987166817
62,Industrial Dataset,12.714285714285714,SUPERPOINT,0.7857142857142857,0.06179775280898877,0.9382022471910112,0.06179775280898878
63,Industrial Dataset,13.946428571428571,SUPERPOINT,1.0357142857142858,0.07426376440460948,0.9257362355953904,0.07426376440460954
64,Industrial Dataset,12.866071428571429,SUPERPOINT,0.125,0.009715475364330326,0.9902845246356696,0.00971547536433035
65,Industrial Dataset,15.491071428571429,SUPERPOINT,0.41964285714285715,0.027089337175792507,0.9729106628242075,0.02708933717579252
66,Industrial Dataset,16.464285714285715,SUPERPOINT,0.22321428571428573,0.013557483731019523,0.9864425162689805,0.013557483731019513
67,Industrial Dataset,15.107142857142858,SUPERPOINT,0.14285714285714285,0.009456264775413711,0.9905437352245863,0.009456264775413718
68,Industrial Dataset,14.053571428571429,SUPERPOINT,1.1964285714285714,0.08513341804320203,0.914866581956798,0.085133418043202
69,Industrial Dataset,13.008928571428571,SUPERPOINT,0.8571428571428571,0.06588881262868908,0.9341111873713108,0.06588881262868913
70,Industrial Dataset,11.571428571428571,SUPERPOINT,0.5892857142857143,0.05092592592592593,0.9490740740740742,0.05092592592592587
71,Industrial Dataset,11.285714285714286,SUPERPOINT,0.5803571428571429,0.051424050632911396,0.9485759493670887,0.05142405063291137
72,Industrial Dataset,11.071428571428571,SUPERPOINT,0.30357142857142855,0.027419354838709675,0.9725806451612903,0.027419354838709695
73,Industrial Dataset,11.169642857142858,SUPERPOINT,0.39285714285714285,0.035171862509992005,0.9648281374900081,0.03517186250999197
74,Industrial Dataset,12.651785714285714,SUPERPOINT,0.3125,0.024700070571630206,0.9752999294283697,0.024700070571630234
75,Industrial Dataset,14.017857142857142,SUPERPOINT,0.4642857142857143,0.033121019108280254,0.9668789808917198,0.033121019108280254
76,Industrial Dataset,12.133928571428571,SUPERPOINT,0.4017857142857143,0.033112582781456956,0.9668874172185431,0.03311258278145693
77,Industrial Dataset,14.616071428571429,SUPERPOINT,0.05357142857142857,0.003665241295051924,0.996334758704948,0.003665241295051946
