,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial Dataset,26.339285714285715,SUPERPOINT,2.8035714285714284,0.10644067796610168,0.8935593220338983,0.1064406779661017
1,Industrial Dataset,30.276785714285715,SUPERPOINT,0.05357142857142857,0.0017693895606015924,0.9982306104393984,0.001769389560601584
2,Industrial Dataset,49.30357142857143,SUPERPOINT,2.7767857142857144,0.05632017385005433,0.9436798261499456,0.056320173850054354
3,Industrial Dataset,67.84821428571429,SUPERPOINT,3.875,0.057112777997104874,0.9428872220028951,0.05711277799710489
4,Industrial Dataset,59.30357142857143,SUPERPOINT,2.9732142857142856,0.050135501355013545,0.9498644986449865,0.050135501355013545
5,Industrial Dataset,60.25,SUPERPOINT,1.0,0.016597510373443983,0.983402489626556,0.01659751037344401
6,Industrial Dataset,68.08928571428571,SUPERPOINT,0.8214285714285714,0.012063991607658012,0.987936008392342,0.012063991607658022
7,Industrial Dataset,59.419642857142854,SUPERPOINT,0.45535714285714285,0.007663410969196093,0.9923365890308039,0.007663410969196093
8,Industrial Dataset,50.035714285714285,SUPERPOINT,3.830357142857143,0.07655246252676659,0.9234475374732334,0.0765524625267666
9,Industrial Dataset,43.169642857142854,SUPERPOINT,4.0,0.09265770423991727,0.9073422957600827,0.09265770423991727
10,Industrial Dataset,30.839285714285715,SUPERPOINT,1.7410714285714286,0.05645628257093225,0.9435437174290678,0.05645628257093221
11,Industrial Dataset,28.696428571428573,SUPERPOINT,1.9017857142857142,0.06627255756067205,0.9337274424393279,0.06627255756067206
12,Industrial Dataset,26.625,SUPERPOINT,0.8035714285714286,0.030181086519114688,0.9698189134808853,0.030181086519114674
13,Industrial Dataset,27.8125,SUPERPOINT,1.0446428571428572,0.0375601926163724,0.9624398073836276,0.037560192616372425
14,Industrial Dataset,38.651785714285715,SUPERPOINT,0.7678571428571429,0.019866019866019866,0.98013398013398,0.019866019866019928
15,Industrial Dataset,46.99107142857143,SUPERPOINT,1.8660714285714286,0.039711191335740074,0.9602888086642599,0.039711191335740074
16,Industrial Dataset,39.830357142857146,SUPERPOINT,1.4017857142857142,0.03519390271239632,0.9648060972876037,0.035193902712396315
17,Industrial Dataset,50.455357142857146,SUPERPOINT,0.07142857142857142,0.0014156786409485046,0.9985843213590515,0.0014156786409484986
18,Industrial Dataset,43.5625,SUPERPOINT,0.25892857142857145,0.005943840951014552,0.9940561590489855,0.005943840951014537
19,Industrial Dataset,26.151785714285715,SUPERPOINT,1.9910714285714286,0.07613519972686923,0.9238648002731308,0.07613519972686923
20,Industrial Dataset,16.205357142857142,SUPERPOINT,0.044642857142857144,0.0027548209366391185,0.9972451790633609,0.0027548209366391324
21,Industrial Dataset,17.991071428571427,SUPERPOINT,0.044642857142857144,0.002481389578163772,0.9975186104218362,0.0024813895781637834
22,Industrial Dataset,19.169642857142858,SUPERPOINT,0.32142857142857145,0.016767582673497906,0.983232417326502,0.016767582673497945
23,Industrial Dataset,25.919642857142858,SUPERPOINT,0.29464285714285715,0.011367550809507406,0.9886324491904925,0.011367550809507436
24,Industrial Dataset,42.276785714285715,SUPERPOINT,0.21428571428571427,0.0050686378035902846,0.9949313621964097,0.005068637803590316
25,Industrial Dataset,47.3125,SUPERPOINT,2.2857142857142856,0.04831100207586337,0.9516889979241366,0.04831100207586338
26,Industrial Dataset,63.964285714285715,SUPERPOINT,1.2589285714285714,0.01968174204355109,0.9803182579564489,0.0196817420435511
27,Industrial Dataset,65.16964285714286,SUPERPOINT,0.7321428571428571,0.011234415673379914,0.98876558432662,0.011234415673379964
28,Industrial Dataset,35.88392857142857,SUPERPOINT,1.6339285714285714,0.0455337148544414,0.9544662851455586,0.04553371485444137
29,Industrial Dataset,45.42857142857143,SUPERPOINT,0.9642857142857143,0.02122641509433962,0.9787735849056604,0.021226415094339635
30,Industrial Dataset,60.151785714285715,SUPERPOINT,0.16071428571428573,0.002671812379397358,0.9973281876206027,0.0026718123793973226
31,Industrial Dataset,47.9375,SUPERPOINT,1.2142857142857142,0.02533060160178804,0.974669398398212,0.025330601601788027
32,Industrial Dataset,48.38392857142857,SUPERPOINT,0.05357142857142857,0.0011072153533862336,0.9988927846466137,0.0011072153533862744
